fid,kind,sub_a,sub_b,kv,length_km,n_circuits,public_visible
L:18217:18221:138,L,18221,18217,138.0,6.492119299726403,1,True
L:18218:18219:138,L,18219,18218,138.0,5.134646741067644,1,True
L:18218:18234:138,L,18234,18218,138.0,5.194794742576455,1,True
L:18219:18681:138,L,18681,18219,138.0,5.989578933637312,1,True
L:18220:18262:138,L,18220,18262,138.0,9.388803835820013,1,True
L:18221:18235:138,L,18235,18221,138.0,10.04207369057183,1,True
L:18222:18263:138,L,18263,18222,138.0,5.965529355581582,1,True
L:18222:18701:138,L,18222,18701,138.0,2.4129781844379474,1,False
L:18223:18235:138,L,18235,18223,138.0,8.985768723791871,1,True
L:18223:18701:138,L,18701,18223,138.0,7.7696455969023015,1,True
L:18224:18239:138,L,18224,18239,138.0,4.224738453285663,1,True
L:18224:18240:138,L,18224,18240,138.0,8.792557209744244,1,True
L:18225:18226:138,L,18226,18225,138.0,3.5475384721486374,1,True
L:18225:18239:138,L,18225,18239,138.0,7.298459131154109,1,True
L:18226:18236:138,L,18236,18226,138.0,1.9314433252106609,1,True
L:18227:18230:138,L,18230,18227,138.0,3.7471752228283877,1,True
L:18227:18233:138,L,18227,18233,138.0,4.656209396373879,1,True
L:18228:18250:138,L,18228,18250,138.0,13.039667343885583,1,True
L:18229:18237:138,L,18237,18229,138.0,5.272871291860476,1,True
L:18229:18271:138,L,18229,18271,138.0,8.696880313966375,1,True
L:18230:18249:138,L,18249,18230,138.0,6.075384070577994,1,True
L:18230:18255:138,L,18230,18255,138.0,15.671517799156698,1,True
L:18231:18242:138,L,18242,18231,138.0,3.7128886390743023,1,True
L:18232:18681:138,L,18681,18232,138.0,4.778505758221729,1,True
L:18233:18251:138,L,18233,18251,138.0,2.1222930779341116,1,True
L:18234:18242:138,L,18242,18234,138.0,1.680835760860725,1,True
L:18236:18251:138,L,18251,18236,138.0,3.0076581061666716,1,True
L:18237:18680:138,L,18237,18680,138.0,4.431826651103352,1,True
L:18238:18257:138,L,18238,18257,138.0,10.475742143436872,1,True
L:18238:18517:138,L,18238,18517,138.0,6.075860418572211,1,True
L:18239:18252:138,L,18239,18252,138.0,9.565728311304312,1,True
L:18240:18243:138,L,18240,18243,138.0,3.915087195332069,1,True
L:18240:18258:138,L,18240,18258,138.0,2.41380519865854,1,True
L:18241:18686:345,L,18241,18686,345.0,36.24350556226793,1,True
L:18241:18694:345,L,18694,18241,345.0,13.053744701505616,1,True
L:18242:18251:138,L,18242,18251,138.0,5.382449387180127,1,True
L:18243:18253:138,L,18243,18253,138.0,6.339961226409037,1,True
L:18244:18245:138,L,18244,18245,138.0,8.948420894236992,1,True
L:18244:18257:138,L,18244,18257,138.0,3.527223529729904,1,True
L:18244:18260:138,L,18244,18260,138.0,21.56865686808843,1,True
L:18245:18252:138,L,18252,18245,138.0,3.064197939064394,1,True
L:18245:18254:138,L,18245,18254,138.0,6.32397931073936,1,True
L:18245:18258:138,L,18258,18245,138.0,4.170295421068157,1,True
L:18245:18259:138,L,18245,18259,138.0,13.595617016016416,1,True
L:18245:18267:345,L,18245,18267,345.0,32.02672384684914,1,True
L:18246:18249:138,L,18246,18249,138.0,2.354132746862642,1,True
L:18246:18256:138,L,18256,18246,138.0,9.918959162663125,1,True
L:18247:18254:138,L,18247,18254,138.0,15.387297864039107,1,True
L:18247:18680:138,L,18680,18247,138.0,7.0898590960571815,1,True
L:18248:18271:138,L,18248,18271,138.0,8.001206514454166,1,True
L:18248:18517:138,L,18517,18248,138.0,2.6838737486023425,1,True
L:18255:18278:138,L,18255,18278,138.0,29.979207615407038,1,True
L:18256:18268:138,L,18256,18268,138.0,3.125079954313805,1,True
L:18260:18580:138,L,18260,18580,138.0,21.13635219707876,1,True
L:18260:18583:138,L,18583,18260,138.0,9.107029302106895,1,True
L:18264:18519:138,L,18264,18519,138.0,8.210825276546736,1,True
L:18264:18525:138,L,18264,18525,138.0,1.8292317122510875,1,True
L:18265:18268:138,L,18265,18268,138.0,4.762843074181484,1,True
L:18265:18269:138,L,18269,18265,138.0,6.90625185640113,1,True
L:18266:18277:138,L,18266,18277,138.0,15.264792257834838,1,True
L:18266:18521:138,L,18266,18521,138.0,3.9714464968447207,1,True
L:18267:18338:345,L,18338,18267,345.0,23.24725136625026,1,True
L:18267:18686:345,L,18686,18267,345.0,14.409327973222862,1,True
L:18269:18339:138,L,18269,18339,138.0,8.802171174320938,1,True
L:18270:18285:138,L,18270,18285,138.0,6.3518730676102395,1,True
L:18271:18521:138,L,18271,18521,138.0,5.022004534521083,1,True
L:18271:18522:138,L,18271,18522,138.0,11.90314713251206,1,True
L:18273:18601:138,L,18273,18601,138.0,16.530945120803107,1,True
L:18274:18275:138,L,18274,18275,138.0,3.4708873040292416,1,True
L:18275:18276:138,L,18275,18276,138.0,15.099611587781974,1,True
L:18276:18600:138,L,18600,18276,138.0,12.693026318840925,1,True
L:18277:18288:138,L,18277,18288,138.0,5.989129082567416,1,True
L:18279:18285:138,L,18285,18279,138.0,13.358068900513594,1,True
L:18280:18305:138,L,18280,18305,138.0,6.19726230638779,1,True
L:18280:18398:138,L,18280,18398,138.0,19.31621868568056,1,True
L:18281:18284:138,L,18281,18284,138.0,5.575361629919859,1,True
L:18282:18283:138,L,18283,18282,138.0,15.758301564760789,1,True
L:18283:18608:138,L,18283,18608,138.0,8.743099443446194,1,True
L:18283:18613:138,L,18283,18613,138.0,26.746505957870838,1,True
L:18284:18403:138,L,18403,18284,138.0,16.55147650581521,1,True
L:18285:18286:138,L,18285,18286,138.0,6.045362126396253,1,True
L:18287:18288:138,L,18288,18287,138.0,9.613013369336587,1,True
L:18289:18290:138,L,18290,18289,138.0,10.305686226831318,1,True
L:18289:18292:138,L,18292,18289,138.0,8.036149263407864,1,True
L:18290:18670:138,L,18670,18290,138.0,12.596515629190067,1,True
L:18291:18666:138,L,18291,18666,138.0,8.976496961464147,1,True
L:18292:18300:138,L,18292,18300,138.0,14.596412225409521,1,True
L:18293:18302:138,L,18293,18302,138.0,7.3018548479498335,1,True
L:18293:18304:138,L,18304,18293,138.0,4.1292521090588625,1,True
L:18294:18297:138,L,18294,18297,138.0,7.526631463897118,1,True
L:18294:18306:138,L,18306,18294,138.0,3.839112785717666,1,True
L:18296:18299:138,L,18296,18299,138.0,6.574526187784435,1,True
L:18296:18303:138,L,18303,18296,138.0,16.019815109605794,1,True
L:18297:18302:138,L,18302,18297,138.0,8.212843328586612,1,True
L:18298:18301:138,L,18298,18301,138.0,7.492937298148193,1,True
L:18298:18411:138,L,18298,18411,138.0,13.027170829502724,1,True
L:18299:18304:138,L,18299,18304,138.0,10.40297477950363,1,True
L:18299:18399:345,L,18399,18299,345.0,32.83986225277405,1,True
L:18300:18303:138,L,18300,18303,138.0,6.193915910133777,1,True
L:18301:18404:138,L,18301,18404,138.0,8.600115330201636,1,True
L:18305:18306:138,L,18306,18305,138.0,6.1242176649378335,1,True
L:18307:18316:138,L,18307,18316,138.0,9.118128348594862,1,True
L:18309:18310:138,L,18309,18310,138.0,7.800098614968125,1,True
L:18311:18312:138,L,18311,18312,138.0,3.440947954204724,1,True
L:18312:18313:138,L,18312,18313,138.0,9.872334594314799,1,True
L:18314:18426:138,L,18314,18426,138.0,4.516286101441114,1,True
L:18314:18700:138,L,18314,18700,138.0,5.133866966075995,1,True
L:18315:18700:138,L,18315,18700,138.0,5.219509022072025,1,True
L:18316:18420:138,L,18316,18420,138.0,11.343825808958046,1,True
L:18317:18320:138,L,18317,18320,138.0,3.9456478529483485,1,True
L:18317:18323:138,L,18317,18323,138.0,10.912198532027743,1,True
L:18317:18330:138,L,18317,18330,138.0,29.29707752524154,1,True
L:18317:18479:138,L,18317,18479,138.0,80.8203959086262,1,True
L:18318:18468:138,L,18318,18468,138.0,6.139071484339796,1,True
L:18319:18635:138,L,18319,18635,138.0,16.09060439637018,1,True
L:18320:18322:138,L,18320,18322,138.0,9.41457218395328,1,True
L:18322:18468:138,L,18322,18468,138.0,10.042184175517798,1,True
L:18323:18325:138,L,18325,18323,138.0,4.871477087574196,1,True
L:18324:18325:138,L,18325,18324,138.0,10.918836463417424,1,True
L:18324:18326:138,L,18324,18326,138.0,7.060475858785867,1,True
L:18324:18484:138,L,18324,18484,138.0,85.6832583039688,1,True
L:18324:18653:138,L,18324,18653,138.0,99.51411954421565,1,True
L:18324:18664:138,L,18324,18664,138.0,98.60766503049818,1,True
L:18324:18684:138,L,18324,18684,138.0,27.02789242550233,1,True
L:18326:18330:138,L,18330,18326,138.0,16.603543309019024,1,True
L:18327:18328:138,L,18328,18327,138.0,9.33157726435048,1,True
L:18327:18632:138,L,18632,18327,138.0,18.982133587342084,1,True
L:18328:18329:138,L,18328,18329,138.0,6.380628873420654,1,True
L:18329:18594:138,L,18594,18329,138.0,4.780799628995509,1,True
L:18329:18635:138,L,18329,18635,138.0,29.649542007332855,1,True
L:18329:18683:345,L,18329,18683,345.0,29.47696018753726,1,True
L:18329:18706:345,L,18329,18706,345.0,72.4873950070363,1,True
L:18330:18331:138,L,18330,18331,138.0,5.349738708804977,1,True
L:18330:18683:138,L,18330,18683,138.0,7.707483119442158,1,True
L:18331:18683:138,L,18331,18683,138.0,8.278955721144305,1,True
L:18331:18758:100,L,18331,18758,100.0,3.3252556313875945,1,True
L:18332:18334:138,L,18332,18334,138.0,6.374897241159855,1,True
L:18332:18513:138,L,18332,18513,138.0,26.024650761098627,1,True
L:18333:18523:138,L,18333,18523,138.0,10.59369912765294,1,True
L:18333:18524:138,L,18333,18524,138.0,5.432982746532907,1,True
L:18335:18353:138,L,18353,18335,138.0,8.779435908045105,1,True
L:18336:18337:138,L,18337,18336,138.0,9.21813577990162,1,True
L:18336:18352:138,L,18336,18352,138.0,14.788396138391246,1,True
L:18338:18341:138,L,18338,18341,138.0,2.5126871418815586,1,True
L:18338:18515:138,L,18338,18515,138.0,14.189566511770074,1,True
L:18338:18705:345,L,18338,18705,345.0,53.50238596002343,1,True
L:18339:18522:138,L,18522,18339,138.0,4.21680203108142,1,True
L:18342:18343:138,L,18343,18342,138.0,8.848092634128763,1,True
L:18342:18513:138,L,18342,18513,138.0,4.366964523080157,1,False
L:18343:18345:138,L,18345,18343,138.0,7.626477074018624,1,True
L:18343:18352:138,L,18343,18352,138.0,18.733053833260147,1,False
L:18344:18345:138,L,18344,18345,138.0,5.99857707931874,1,True
L:18346:18348:138,L,18348,18346,138.0,7.825480250807821,1,True
L:18347:18707:138,L,18707,18347,138.0,7.806263968955783,1,True
L:18348:18349:138,L,18349,18348,138.0,10.746015043576572,1,True
L:18348:18707:138,L,18707,18348,138.0,4.870748606823527,1,True
L:18349:18354:138,L,18349,18354,138.0,9.264148982934028,1,True
L:18349:18647:138,L,18349,18647,138.0,39.9925575000841,1,True
L:18349:18657:138,L,18349,18657,138.0,59.856477116141804,1,True
L:18350:18642:138,L,18350,18642,138.0,17.908546564745595,1,True
L:18351:18352:138,L,18352,18351,138.0,7.209125034834585,1,True
L:18351:18353:138,L,18351,18353,138.0,6.004324964949285,1,True
L:18353:19572:138,L,19572,18353,138.0,3.6804854712175015,1,True
L:18354:18649:138,L,18354,18649,138.0,46.086345865197856,1,True
L:18356:18366:138,L,18366,18356,138.0,9.085288277278499,1,True
L:18356:18370:138,L,18356,18370,138.0,24.928978186461954,1,True
L:18357:18364:138,L,18357,18364,138.0,6.932445464661943,1,True
L:18357:18376:138,L,18357,18376,138.0,21.194650200361327,1,True
L:18357:18379:138,L,18379,18357,138.0,10.639873047351392,1,True
L:18358:18359:138,L,18358,18359,138.0,8.351707747993897,1,True
L:18359:18668:138,L,18359,18668,138.0,21.04439432196693,1,True
L:18360:18366:138,L,18360,18366,138.0,24.519349356791913,1,True
L:18363:18365:138,L,18363,18365,138.0,7.179620036184576,1,True
L:18363:18387:138,L,18387,18363,138.0,7.017629799119766,1,True
L:18364:18367:138,L,18364,18367,138.0,5.728574140542548,1,True
L:18365:18385:138,L,18365,18385,138.0,12.241801884342843,1,True
L:18367:18369:138,L,18369,18367,138.0,5.581593785402161,1,True
L:18368:18369:138,L,18368,18369,138.0,7.71230699994128,1,True
L:18368:18377:345,L,18377,18368,345.0,40.0348944064088,1,True
L:18370:18678:138,L,18370,18678,138.0,7.988102221686765,1,True
L:18371:18372:138,L,18371,18372,138.0,8.525898763736953,1,True
L:18371:18381:138,L,18381,18371,138.0,4.849399497772164,1,True
L:18372:18373:138,L,18372,18373,138.0,6.477559965828403,1,True
L:18372:18381:138,L,18372,18381,138.0,10.585595099635233,1,True
L:18372:18437:138,L,18372,18437,138.0,26.284883566414656,1,True
L:18373:18384:138,L,18373,18384,138.0,14.707898232662062,1,True
L:18375:18377:138,L,18377,18375,138.0,3.7750001367390373,1,True
L:18375:18382:138,L,18375,18382,138.0,11.397868393437054,1,True
L:18377:18381:345,L,18381,18377,345.0,21.236663006267097,1,True
L:18378:18385:138,L,18378,18385,138.0,18.730646221562026,1,True
L:18378:18535:138,L,18535,18378,138.0,14.322454930495672,1,True
L:18379:18385:138,L,18385,18379,138.0,9.435642061073143,1,True
L:18380:18383:138,L,18383,18380,138.0,13.629335798586174,1,True
L:18380:18536:138,L,18380,18536,138.0,16.89855506253453,1,True
L:18381:18383:138,L,18381,18383,138.0,5.867162974018373,1,True
L:18381:18544:345,L,18544,18381,345.0,32.63638050726353,1,True
L:18382:18384:138,L,18382,18384,138.0,8.551648664978606,1,True
L:18385:18386:138,L,18386,18385,138.0,5.364570584652474,1,True
L:18387:18534:138,L,18387,18534,138.0,20.53802883367913,1,True
L:18388:18389:138,L,18389,18388,138.0,8.747330475654344,1,True
L:18389:18390:138,L,18390,18389,138.0,14.91682177055574,1,True
L:18389:18393:138,L,18393,18389,138.0,8.000660874401014,1,True
L:18392:18394:138,L,18394,18392,138.0,6.288384112027448,1,True
L:18396:18397:138,L,18397,18396,138.0,9.99536042355661,1,True
L:18396:18414:138,L,18414,18396,138.0,9.956114422878496,1,True
L:18397:18405:138,L,18405,18397,138.0,10.419603459008254,1,True
L:18398:18608:138,L,18398,18608,138.0,12.430403370183816,1,True
L:18399:18401:138,L,18399,18401,138.0,3.1216281156914074,1,True
L:18400:18401:138,L,18400,18401,138.0,5.304395684704215,1,True
L:18400:18410:138,L,18400,18410,138.0,7.284454514232884,1,True
L:18400:18415:138,L,18415,18400,138.0,7.093440761237406,1,True
L:18402:18403:138,L,18403,18402,138.0,9.320756771065033,1,True
L:18402:18409:138,L,18402,18409,138.0,10.829725508363666,1,True
L:18404:18406:138,L,18404,18406,138.0,3.646350997133459,1,True
L:18404:18667:138,L,18404,18667,138.0,28.093959662209517,1,True
L:18405:18406:138,L,18406,18405,138.0,9.347612088598858,1,True
L:18407:18408:138,L,18408,18407,138.0,6.52148008628556,1,True
L:18407:18607:138,L,18607,18407,138.0,6.136981682086432,1,True
L:18408:18409:138,L,18408,18409,138.0,6.491733474685746,1,True
L:18410:18411:138,L,18411,18410,138.0,7.11257073110888,1,True
L:18413:18414:138,L,18413,18414,138.0,8.093586215626777,1,True
L:18419:18420:138,L,18419,18420,138.0,8.23898684008082,1,True
L:18419:18436:138,L,18419,18436,138.0,22.90238593294046,1,True
L:18421:18422:138,L,18421,18422,138.0,7.921243050510975,1,True
L:18421:18423:138,L,18421,18423,138.0,4.202603081391711,1,True
L:18422:18433:138,L,18433,18422,138.0,4.440975572175652,1,True
L:18423:18502:138,L,18502,18423,138.0,3.621612622158932,1,True
L:18424:18425:138,L,18424,18425,138.0,3.746142867639419,1,True
L:18424:18431:138,L,18424,18431,138.0,6.488337919664053,1,True
L:18425:18426:138,L,18426,18425,138.0,9.084135491990933,1,True
L:18427:18432:138,L,18427,18432,138.0,1.3426858266873485,1,True
L:18428:18689:138,L,18689,18428,138.0,2.3993271548497117,1,True
L:18429:18431:138,L,18431,18429,138.0,3.716796580595611,1,True
L:18429:18689:138,L,18429,18689,138.0,3.6254351329904067,1,True
L:18430:18432:138,L,18430,18432,138.0,8.838656534585633,1,True
L:18430:18689:138,L,18430,18689,138.0,4.356746395130813,1,True
L:18433:18434:138,L,18433,18434,138.0,6.577848735671529,1,True
L:18434:18689:345,L,18689,18434,345.0,18.10741531345016,1,True
L:18435:18699:138,L,18435,18699,138.0,6.387069971373225,1,True
L:18436:18633:138,L,18633,18436,138.0,9.025758365720934,1,True
L:18437:18441:138,L,18437,18441,138.0,6.972361010427618,1,True
L:18437:18443:138,L,18437,18443,138.0,8.93076974403723,1,True
L:18438:18442:138,L,18438,18442,138.0,8.349550370076205,1,True
L:18438:18445:138,L,18445,18438,138.0,9.937010789526864,1,True
L:18438:18446:138,L,18438,18446,138.0,19.590986941044754,1,True
L:18439:18441:138,L,18441,18439,138.0,9.010195576284422,1,True
L:18439:18445:138,L,18439,18445,138.0,17.89568191248844,1,True
L:18442:18545:138,L,18442,18545,138.0,12.447009462175677,1,True
L:18444:18445:138,L,18445,18444,138.0,4.353825697799128,1,True
L:18447:18448:138,L,18447,18448,138.0,12.751506824291873,1,False
L:18450:18451:138,L,18450,18451,138.0,9.326055465096744,1,False
L:18451:18455:138,L,18451,18455,138.0,14.199354639617843,1,True
L:18452:18627:138,L,18452,18627,138.0,8.248671101111968,1,False
L:18453:18454:138,L,18453,18454,138.0,9.379425409297696,1,True
L:18453:18461:138,L,18453,18461,138.0,10.45956787538193,1,True
L:18454:18455:138,L,18455,18454,138.0,6.972393186006677,1,True
L:18456:18458:138,L,18458,18456,138.0,11.30957103961411,1,True
L:18457:18459:138,L,18459,18457,138.0,7.600573328133576,1,True
L:18457:18460:138,L,18457,18460,138.0,8.53934020698998,1,True
L:18459:18461:138,L,18459,18461,138.0,7.85908659450073,1,True
L:18460:18685:138,L,18460,18685,138.0,6.026893721360216,1,True
L:18462:18685:138,L,18685,18462,138.0,3.4837381231844877,1,True
L:18463:18464:138,L,18464,18463,138.0,8.293011851402843,1,True
L:18464:18685:138,L,18464,18685,138.0,5.470087481522756,1,True
L:18465:18466:138,L,18465,18466,138.0,2.8966440314138917,1,True
L:18466:18467:138,L,18467,18466,138.0,5.618726652907986,1,True
L:18469:19579:138,L,19579,18469,138.0,2.7014663947200135,1,True
L:18470:18471:138,L,18471,18470,138.0,8.271716505282699,1,True
L:18470:18472:138,L,18470,18472,138.0,12.681727393837093,1,True
L:18471:18472:138,L,18472,18471,138.0,10.787744418558507,1,False
L:18472:18475:138,L,18472,18475,138.0,10.431016533169151,1,True
L:18473:18474:138,L,18474,18473,138.0,22.465914883538982,1,True
L:18473:18486:138,L,18486,18473,138.0,15.24381747800236,1,True
L:18474:18477:138,L,18474,18477,138.0,18.379563538011904,1,True
L:18475:18478:138,L,18475,18478,138.0,13.128095898336115,1,True
L:18476:18478:138,L,18478,18476,138.0,21.700733538734756,1,True
L:18476:18564:138,L,18564,18476,138.0,17.156417325813177,1,True
L:18479:18480:138,L,18479,18480,138.0,15.959441417330332,1,True
L:18480:18482:138,L,18480,18482,138.0,3.045712406196342,1,True
L:18480:18483:138,L,18480,18483,138.0,18.743180500242776,1,True
L:18481:18571:138,L,18481,18571,138.0,29.631532438649874,1,True
L:18481:18599:138,L,18599,18481,138.0,3.4809948332396012,1,True
L:18482:18574:138,L,18482,18574,138.0,11.02671202065284,1,True
L:18483:18706:138,L,18706,18483,138.0,0.5857154274431778,1,True
L:18484:18706:138,L,18484,18706,138.0,7.322971129484193,1,True
L:18485:18641:138,L,18641,18485,138.0,6.274376224727243,1,True
L:18485:18656:138,L,18485,18656,138.0,10.215321840830367,1,True
L:18486:18488:138,L,18486,18488,138.0,15.1961435580822,1,True
L:18487:18492:138,L,18487,18492,138.0,22.610182258369456,1,True
L:18487:18570:138,L,18570,18487,138.0,26.048686480099576,1,False
L:18489:18490:138,L,18489,18490,138.0,10.060857267598005,1,True
L:18490:18492:138,L,18492,18490,138.0,17.25395698645405,1,True
L:18491:18493:138,L,18491,18493,138.0,13.736026476668265,1,True
L:18492:18493:138,L,18493,18492,138.0,8.447372386064353,1,True
L:18494:18495:138,L,18494,18495,138.0,8.966975773432592,1,True
L:18494:18500:138,L,18494,18500,138.0,5.0757434811949595,1,True
L:18494:18504:138,L,18504,18494,138.0,8.253378991991005,1,True
L:18495:18509:138,L,18509,18495,138.0,9.10164460823026,1,True
L:18496:18503:138,L,18503,18496,138.0,19.832862665089,1,True
L:18496:18507:138,L,18496,18507,138.0,13.584390679990046,1,True
L:18496:18511:138,L,18511,18496,138.0,9.94247519521688,1,True
L:18498:18499:138,L,18499,18498,138.0,7.4293278637233495,1,True
L:18498:18500:138,L,18500,18498,138.0,4.029380323138457,1,True
L:18502:18503:138,L,18502,18503,138.0,8.878188332020738,1,True
L:18502:18505:138,L,18505,18502,138.0,5.6449423300062005,1,True
L:18503:18504:138,L,18503,18504,138.0,4.025554030262949,1,True
L:18505:18510:138,L,18510,18505,138.0,4.158375650970818,1,True
L:18506:18511:138,L,18506,18511,138.0,6.865752695679232,1,True
L:18506:18560:138,L,18506,18560,138.0,36.684239310601264,1,True
L:18506:18696:138,L,18506,18696,138.0,27.8942472639693,1,True
L:18507:18508:138,L,18507,18508,138.0,6.156222448157183,1,True
L:18507:18509:138,L,18507,18509,138.0,11.048367981438227,1,True
L:18507:18591:138,L,18507,18591,138.0,34.154352449368105,1,True
L:18510:18512:138,L,18512,18510,138.0,8.926741310808145,1,True
L:18514:18515:138,L,18514,18515,138.0,10.757159218312617,1,True
L:18514:18524:138,L,18524,18514,138.0,5.0794214771948125,1,True
L:18515:18518:138,L,18518,18515,138.0,5.440936006906296,1,True
L:18516:18520:138,L,18520,18516,138.0,4.097147382978736,1,True
L:18516:18525:138,L,18516,18525,138.0,7.073529628921692,1,True
L:18518:18519:138,L,18519,18518,138.0,5.268122840495994,1,True
L:18520:18690:138,L,18690,18520,138.0,1.925633083986696,1,True
L:18521:18523:138,L,18521,18523,138.0,10.276612469331985,1,True
L:18523:18690:138,L,18523,18690,138.0,6.194602651489669,1,True
L:18526:18550:138,L,18526,18550,138.0,8.589490624878923,1,True
L:18527:18551:138,L,18551,18527,138.0,3.6274058181331137,1,True
L:18527:18552:138,L,18552,18527,138.0,7.300065323047897,1,True
L:18528:18534:138,L,18528,18534,138.0,6.382255181198588,1,True
L:18528:18540:138,L,18540,18528,138.0,6.542420363292045,1,True
L:18530:18531:138,L,18530,18531,138.0,4.441807934745591,1,True
L:18532:18676:345,L,18532,18676,345.0,31.25483647138481,1,True
L:18533:18541:138,L,18541,18533,138.0,4.780396439465843,1,True
L:18533:18552:138,L,18533,18552,138.0,6.341112881907285,1,True
L:18535:18541:138,L,18535,18541,138.0,8.848393574949155,1,True
L:18535:18585:138,L,18585,18535,138.0,6.889317606554964,1,True
L:18536:18585:138,L,18536,18585,138.0,7.196997701522754,1,True
L:18537:18538:138,L,18537,18538,138.0,5.6485610054367585,1,True
L:18537:18554:138,L,18537,18554,138.0,5.7040624960325585,1,True
L:18538:18555:138,L,18555,18538,138.0,3.9704464641586705,1,True
L:18539:18540:138,L,18540,18539,138.0,2.375191898368727,1,True
L:18539:18541:138,L,18541,18539,138.0,6.477390414938759,1,True
L:18542:18674:138,L,18674,18542,138.0,6.375499921992787,1,True
L:18542:18675:138,L,18675,18542,138.0,6.147900477305429,1,True
L:18543:18544:138,L,18543,18544,138.0,5.521325234860583,1,True
L:18543:18552:138,L,18552,18543,138.0,6.715403728030774,1,True
L:18544:18545:138,L,18544,18545,138.0,7.089363165760534,1,True
L:18544:18550:138,L,18544,18550,138.0,26.403454624525633,1,True
L:18544:18551:138,L,18544,18551,138.0,16.68481184905927,1,True
L:18546:18547:138,L,18547,18546,138.0,9.79339205137783,1,True
L:18546:18553:138,L,18546,18553,138.0,5.759546618876755,1,True
L:18546:18672:138,L,18546,18672,138.0,9.691772114520555,1,True
L:18547:18555:138,L,18555,18547,138.0,4.50562133432936,1,True
L:18549:18675:138,L,18549,18675,138.0,8.64381239835104,1,True
L:18553:18554:138,L,18554,18553,138.0,8.891424898065873,1,True
L:18556:18557:138,L,18556,18557,138.0,8.489509641988757,1,True
L:18556:18558:138,L,18558,18556,138.0,6.916270679918731,1,False
L:18557:18562:138,L,18562,18557,138.0,21.50479070044986,1,True
L:18558:18564:138,L,18558,18564,138.0,28.565369135283415,1,True
L:18558:18566:138,L,18566,18558,138.0,10.493407687388652,1,True
L:18558:18604:138,L,18558,18604,138.0,34.223563635386135,1,True
L:18558:18702:345,L,18558,18702,345.0,33.016473085980046,1,True
L:18559:18568:138,L,18568,18559,138.0,12.978595806239676,1,True
L:18559:18605:138,L,18559,18605,138.0,15.609588755666334,1,True
L:18560:18562:138,L,18560,18562,138.0,4.482228935814116,1,True
L:18561:18562:138,L,18561,18562,138.0,11.696599957420284,1,True
L:18561:18563:138,L,18561,18563,138.0,27.010289767085972,1,True
L:18563:18588:138,L,18563,18588,138.0,13.78286946702521,1,True
L:18565:18566:138,L,18565,18566,138.0,13.166546767352427,1,False
L:18565:18567:138,L,18567,18565,138.0,4.669055199508667,1,True
L:18567:18570:138,L,18567,18570,138.0,16.056575452833858,1,True
L:18568:18569:138,L,18569,18568,138.0,7.003074033886062,1,True
L:18569:18604:138,L,18604,18569,138.0,10.711126823864024,1,True
L:18571:18574:138,L,18571,18574,138.0,10.703905837839248,1,True
L:18571:18639:138,L,18571,18639,138.0,15.180080537878563,1,True
L:18575:18579:138,L,18579,18575,138.0,13.265037375314174,1,True
L:18575:18584:138,L,18584,18575,138.0,8.285082303629858,1,True
L:18576:18577:138,L,18576,18577,138.0,8.857674349119419,1,True
L:18577:18580:138,L,18580,18577,138.0,10.988799426675323,1,True
L:18578:18584:138,L,18578,18584,138.0,11.61176863705465,1,True
L:18578:18638:138,L,18638,18578,138.0,10.716294424965259,1,True
L:18580:18582:138,L,18580,18582,138.0,12.401358353713713,1,True
L:18581:18651:345,L,18651,18581,345.0,60.333261172068845,1,True
L:18586:18587:138,L,18586,18587,138.0,9.148351718019295,1,False
L:18586:18588:138,L,18588,18586,138.0,10.179724852691418,1,True
L:18589:18592:138,L,18589,18592,138.0,8.328549906720314,1,True
L:18589:18696:138,L,18589,18696,138.0,6.599761242199986,1,True
L:18590:18591:138,L,18591,18590,138.0,7.691386497939505,1,True
L:18594:18595:138,L,18594,18595,138.0,11.659716587743292,1,True
L:18594:18684:138,L,18594,18684,138.0,23.160989703405992,1,True
L:18595:18597:138,L,18595,18597,138.0,11.508034734394746,1,True
L:18596:18598:138,L,18596,18598,138.0,7.4409079218072325,1,True
L:18596:18683:138,L,18596,18683,138.0,19.681475108530954,1,True
L:18597:18598:138,L,18598,18597,138.0,10.74859396585454,1,False
L:18597:18599:138,L,18597,18599,138.0,9.868408518732787,1,True
L:18601:18603:138,L,18603,18601,138.0,11.27955971302124,1,True
L:18601:18605:138,L,18601,18605,138.0,12.021441772944685,1,True
L:18602:18603:138,L,18602,18603,138.0,10.93549194651897,1,True
L:18602:18604:138,L,18604,18602,138.0,12.712830234306466,1,True
L:18608:18614:138,L,18608,18614,138.0,9.120983688986396,1,True
L:18609:18623:138,L,18609,18623,138.0,9.464329359175702,1,True
L:18610:18612:138,L,18612,18610,138.0,3.2252985076207503,1,True
L:18610:18624:138,L,18624,18610,138.0,4.526876127992133,1,True
L:18611:18612:138,L,18611,18612,138.0,5.582440197987542,1,False
L:18611:18613:138,L,18613,18611,138.0,8.868443199203705,1,True
L:18611:18620:138,L,18611,18620,138.0,6.619329847342084,1,True
L:18614:18622:138,L,18614,18622,138.0,9.878430409700615,1,True
L:18615:18616:138,L,18616,18615,138.0,4.107475196377161,1,True
L:18615:18705:138,L,18705,18615,138.0,2.359533079652129,1,True
L:18616:18705:138,L,18616,18705,138.0,5.393757102155618,1,True
L:18617:18618:138,L,18618,18617,138.0,5.194782440780122,1,True
