queue,url,status,bytes,last_modified,submitted
AE2-282,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2282_imp.pdf,ok,1251102,"Mon, 28 Feb 2022 16:37:53 GMT",2019-03-31
AE2-343,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2343_imp.pdf,ok,826975,"Thu, 27 Feb 2020 17:54:06 GMT",2019-04-01
AF1-007,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1007_imp.pdf,ok,905811,"Fri, 28 Aug 2020 19:03:01 GMT",2019-04-01
AF1-016,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1016_imp.pdf,ok,691777,"Tue, 14 Jan 2020 20:30:47 GMT",2019-04-03
AF1-023,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1023_imp.pdf,ok,749582,"Tue, 21 Jan 2020 18:05:42 GMT",2019-04-18
AF1-030 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1030_imp.pdf,ok,1056057,"Fri, 21 Aug 2020 18:21:02 GMT",2019-05-17
AF1-040,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1040_imp.pdf,ok,878382,"Thu, 20 Aug 2020 14:50:43 GMT",2019-06-15
AF1-049,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1049_imp.pdf,ok,866820,"Mon, 31 Aug 2020 16:30:56 GMT",2019-07-12
AF1-053,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1053_imp.pdf,ok,635014,"Mon, 31 Aug 2020 12:29:25 GMT",2019-07-31
AF1-064,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1064_imp.pdf,ok,813502,"Thu, 27 Aug 2020 13:04:27 GMT",2019-07-31
AF1-072,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1072_imp.pdf,ok,756167,"Wed, 19 Aug 2020 17:02:57 GMT",2019-08-14
AF1-082,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1082_imp.pdf,ok,894413,"Thu, 27 Aug 2020 17:38:32 GMT",2019-08-29
AF1-096,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1096_imp.pdf,ok,279430,"Fri, 28 Oct 2022 15:18:17 GMT",2019-08-30
AF1-083,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1083_imp.pdf,ok,789287,"Thu, 21 Jul 2022 19:58:22 GMT",2019-08-31
AF1-106,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1106_imp.pdf,ok,1027494,"Fri, 28 Aug 2020 17:02:14 GMT",2019-09-10
AF1-112,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1112_imp.pdf,ok,1081754,"Thu, 27 Aug 2020 20:13:53 GMT",2019-09-11
AF1-122,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1122_imp.pdf,ok,765245,"Wed, 26 Aug 2020 20:22:18 GMT",2019-09-17
AF1-146,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1146_imp.pdf,ok,974159,"Wed, 14 Sep 2022 16:09:16 GMT",2019-09-18
AF1-132,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1132_imp.pdf,ok,1192127,"Sun, 30 Aug 2020 12:45:44 GMT",2019-09-18
AF1-149,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1149_imp.pdf,ok,1154439,"Fri, 28 Aug 2020 16:53:26 GMT",2019-09-19
AF1-164,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1164_imp.pdf,ok,783955,"Mon, 31 Aug 2020 14:06:09 GMT",2019-09-20
AF1-159,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1159_imp.pdf,ok,799664,"Fri, 06 Mar 2020 18:33:30 GMT",2019-09-21
AF1-167,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1167_imp.pdf,ok,868160,"Sat, 29 Aug 2020 11:14:29 GMT",2019-09-24
AF1-196,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1196_imp.pdf,ok,947144,"Fri, 31 Jan 2020 13:49:16 GMT",2019-09-25
AF1-204 - moved to TC1,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1204  moved to tc1_imp.pdf,http_404,103,,2019-09-25
AF1-180,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1180_imp.pdf,ok,735660,"Thu, 30 Jan 2020 17:10:45 GMT",2019-09-25
AF1-185,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1185_imp.pdf,ok,898586,"Fri, 31 Jan 2020 12:51:15 GMT",2019-09-25
AF1-212,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1212_imp.pdf,ok,782842,"Wed, 26 Aug 2020 20:48:27 GMT",2019-09-26
AF1-337,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1337_imp.pdf,ok,902659,"Tue, 18 Aug 2020 11:39:23 GMT",2019-09-27
AF1-222,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1222_imp.pdf,ok,1904602,"Thu, 27 Aug 2020 13:23:26 GMT",2019-09-27
AF1-219,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1219_imp.pdf,ok,762295,"Mon, 31 Aug 2020 15:50:58 GMT",2019-09-27
AF1-238 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1238_imp.pdf,ok,2656383,"Mon, 31 Aug 2020 21:02:29 GMT",2019-09-28
AF1-294 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1294_imp.pdf,ok,1031326,"Fri, 21 Aug 2020 18:27:53 GMT",2019-09-30
AF1-292,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1292_imp.pdf,ok,924605,"Tue, 25 Aug 2020 17:52:45 GMT",2019-09-30
AF1-311,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1311_imp.pdf,ok,1091963,"Fri, 28 Aug 2020 11:35:50 GMT",2019-09-30
AF1-324,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1324_imp.pdf,ok,744397,"Thu, 23 Jan 2020 13:14:28 GMT",2019-09-30
AF1-305,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1305_imp.pdf,ok,809248,"Fri, 28 Aug 2020 12:50:20 GMT",2019-09-30
AF1-245,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1245_imp.pdf,ok,808909,"Mon, 31 Aug 2020 20:24:29 GMT",2019-09-30
AF1-258,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1258_imp.pdf,ok,727249,"Mon, 31 Aug 2020 17:15:30 GMT",2019-09-30
AF1-264,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1264_imp.pdf,ok,779266,"Wed, 06 May 2020 12:50:20 GMT",2019-09-30
AF1-203,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1203_imp.pdf,ok,1018537,"Fri, 28 Aug 2020 14:30:37 GMT",2019-09-30
AF2-006,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2006_imp.pdf,ok,768239,"Tue, 23 Feb 2021 22:44:49 GMT",2019-10-01
AF1-291A,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af1291a_imp.pdf,ok,759772,"Fri, 24 Jan 2020 13:00:56 GMT",2019-10-01
AF2-010 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2010_imp.pdf,ok,1747287,"Tue, 02 Mar 2021 15:25:49 GMT",2019-10-11
AF2-032,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2032_imp.pdf,ok,739056,"Thu, 04 Mar 2021 14:36:44 GMT",2019-10-28
AF2-021 - moved to TC1,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2021  moved to tc1_imp.pdf,http_404,103,,2019-11-15
AF2-037 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2037_imp.pdf,ok,987207,"Fri, 19 Feb 2021 16:34:03 GMT",2019-11-29
AF2-045,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2045_imp.pdf,ok,717957,"Tue, 28 Jul 2020 17:59:49 GMT",2019-12-13
AF2-054,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2054_imp.pdf,ok,857888,"Wed, 24 Feb 2021 13:20:45 GMT",2020-01-11
AF2-059,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2059_imp.pdf,ok,794438,"Tue, 23 Feb 2021 23:23:57 GMT",2020-01-24
AF2-068 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2068_imp.pdf,ok,1149288,"Tue, 02 Mar 2021 20:46:44 GMT",2020-01-30
AF2-083,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2083_imp.pdf,ok,879908,"Fri, 18 Feb 2022 20:15:23 GMT",2020-01-31
AF2-082,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2082_imp.pdf,ok,864915,"Mon, 01 Mar 2021 12:12:14 GMT",2020-01-31
AF2-088,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2088_imp.pdf,ok,955784,"Wed, 24 Feb 2021 15:54:44 GMT",2020-02-05
AF2-107,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2107_imp.pdf,ok,1039805,"Thu, 25 Feb 2021 17:39:04 GMT",2020-02-24
AF2-125,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2125_imp.pdf,ok,783717,"Thu, 04 Mar 2021 12:55:56 GMT",2020-02-28
AF2-115 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2115_imp.pdf,ok,985774,"Tue, 02 Mar 2021 18:19:34 GMT",2020-02-28
AF2-133,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2133_imp.pdf,ok,1118046,"Thu, 04 Mar 2021 13:02:53 GMT",2020-03-04
AF2-134,https://www.pjm.com/pub/planning/project-queues/impact_studies/af2134_imp.pdf,ok,904153,"Thu, 04 Mar 2021 14:23:28 GMT",2020-03-07
AF2-143 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/af2143_imp.pdf,ok,1100361,"Fri, 23 Apr 2021 13:26:41 GMT",2020-03-12
