project_id,n_cand,n_label,n_label_in_cand
Q24-2438,800,10,9
Q23-2344,800,0,0
Q24-2375,209,0,0
Q24-2444,800,7,7
Q23-2363,800,1,1
Q24-2420,800,2,0
Q23-2355,800,0,0
Q24-2440,800,6,1
Q24-2484,800,3,3
Q23-2367,800,1,0
Q24-2476,800,0,0
Q11-0014,800,10,6
Q11-0036,800,3,3
Q11-0024,800,3,3
Q11-0070,800,25,19
Q11-0037,800,15,15
Q11-0012,800,14,12
Q11-0038,800,25,24
Q11-0056,800,24,24
Q11-0077,800,25,14
Q11-0002,800,2,0
Q11-0031,800,0,0
Q11-0045,800,0,0
Q11-0071,800,4,4
Q11-0041,800,3,3
Q11-0083,800,3,3
Q11-0032,800,11,10
Q12-0091,800,0,0
Q12-0115,800,2,0
Q12-0116,800,6,4
Q11-0059,800,17,16
Q11-0040,800,0,0
Q12-0127,800,17,10
Q11-0050,800,0,0
Q12-0151,800,22,22
Q11-0051,800,24,23
Q11-0058,704,0,0
Q12-0102,800,0,0
Q12-0108,800,3,2
Q12-0171,800,2,0
Q12-0092,800,1,1
Q12-0139,800,25,0
Q12-0160,800,2,2
Q13-0191,800,25,15
Q12-0190,800,2,2
Q12-0150,800,25,20
Q12-0113,800,0,0
Q12-0137,800,10,10
Q13-0199,775,18,0
Q13-0253,800,8,8
Q12-0138,800,25,25
Q12-0136,800,21,21
Q12-0183,800,25,25
Q13-0235,800,21,14
Q12-0173,800,24,16
Q13-0274,800,24,22
Q12-0168,800,1,1
Q13-0271,800,6,4
Q13-0196,800,0,0
Q13-0217,800,0,0
Q12-0165,800,11,10
Q13-0237,800,25,25
Q13-0278,800,0,0
Q12-0180,800,12,12
Q13-0201,800,2,1
Q13-0234,800,15,11
Q13-0192,800,25,25
Q13-0229,800,25,23
Q13-0226,800,0,0
Q13-0268,800,25,24
Q14-0317,800,1,1
Q14-0345,800,4,4
Q13-0246,800,21,21
Q14-0336,800,2,2
Q13-0272,787,0,0
Q13-0245,800,1,1
Q14-0311,800,17,17
Q13-0279,800,1,1
Q14-0341,800,0,0
Q14-0380,800,7,3
Q13-0258,800,23,21
Q14-0307,761,6,5
Q14-0388,800,13,11
Q14-0316,800,0,0
Q14-0374,800,25,24
Q13-0262,800,25,24
Q14-0327,800,5,5
Q14-0357,800,0,0
Q15-0423,800,25,22
Q14-0373,800,6,6
Q14-0322,800,4,0
Q14-0350,800,0,0
Q14-0339,800,8,8
Q14-0385,800,8,8
Q15-0429,800,22,20
Q14-0324,800,8,8
Q15-0432,800,4,4
Q14-0383,800,0,0
Q15-0446,800,0,0
Q14-0360,800,1,1
Q15-0473,800,25,22
Q14-0348,800,22,22
Q15-0422,800,24,21
Q15-0502,800,42,30
Q14-0399,800,5,5
Q14-0372,800,6,5
Q15-0427,800,14,13
Q15-0490,800,37,34
Q15-0421,800,1,0
Q14-0400,800,4,3
Q15-0528,800,8,2
Q15-0476,800,8,7
Q15-0513,800,24,21
Q14-0413,800,25,23
Q15-0442,800,1,0
Q15-0470,800,3,0
Q15-0530,800,5,5
Q16-0571,800,5,1
Q14-0420,800,25,23
Q15-0536,800,0,0
Q16-0579,800,3,3
Q15-0501,800,8,8
Q15-0524,800,25,23
Q15-0468,800,9,6
Q16-0568,800,19,18
Q16-0614,800,13,11
Q15-0455,800,12,8
Q15-0500,800,1,1
Q15-0543,800,25,22
Q16-0565,800,25,25
Q15-0497,800,10,9
Q16-0638,800,18,18
Q16-0581,800,21,21
Q16-0661,800,25,23
Q15-0527,800,1,0
Q16-0575,800,7,6
Q16-0624,800,1,1
Q15-0486,800,4,1
Q15-0552,800,24,24
Q16-0649,800,14,14
Q15-0495,800,0,0
Q16-0605,800,10,10
Q16-0662,787,0,0
Q16-0702,800,36,31
Q16-0587,800,2,0
Q16-0629,800,0,0
Q16-0675,800,35,28
Q15-0526,800,2,2
Q16-0566,800,1,1
Q15-0546,800,6,5
Q16-0616,800,0,0
Q16-0689,800,0,0
Q17-0741,800,9,9
Q16-0599,800,1,0
Q16-0645,800,9,9
Q16-0693,800,15,4
Q16-0634,800,5,5
Q16-0697,800,19,18
Q16-0588,800,4,4
Q16-0686,800,6,6
Q16-0717,800,0,0
Q17-0781,800,25,19
Q16-0618,800,21,17
Q16-0656,800,3,3
Q17-0788,800,25,24
Q17-0772,800,5,5
Q16-0613,800,7,6
Q16-0711,800,2,2
Q17-0795,800,0,0
Q16-0630,800,4,3
Q17-0734,800,18,16
Q17-0797,800,25,20
Q17-0840,800,3,3
Q16-0652,800,2,2
Q16-0692,800,12,11
Q17-0728,800,8,7
Q17-0768,800,25,0
Q17-0823,800,2,2
Q17-0877,800,16,15
Q16-0700,800,18,10
Q17-0760,800,25,21
Q17-0894,800,25,16
Q17-0737,800,0,0
Q17-0775,800,7,7
Q17-0831,800,23,23
Q17-0873,800,23,2
Q17-0723,800,0,0
Q17-0820,336,12,5
Q17-0748,800,0,0
Q17-0824,800,5,5
Q17-0904,800,25,0
Q17-0733,800,3,3
Q17-0830,800,9,9
Q17-0880,800,6,5
Q17-0731,800,4,4
Q17-0857,800,0,0
Q17-0738,162,10,1
Q17-0822,800,0,0
Q17-0869,800,7,6
Q17-0759,800,2,2
Q17-0776,800,13,0
Q17-0825,800,25,24
Q17-0879,800,3,3
Q18-0921,800,0,0
Q18-0964,800,25,23
Q17-0787,800,16,15
Q18-0913,800,13,7
Q18-0974,800,16,15
Q17-0779,800,23,12
Q17-0813,800,15,15
Q18-0923,800,10,10
Q18-1021,800,17,17
Q17-0827,800,8,8
Q17-0897,800,0,0
Q18-0942,800,0,0
Q18-1049,800,25,0
Q17-0890,313,1,1
Q18-0986,800,25,25
Q18-1042,800,25,21
Q17-0885,800,0,0
Q18-1055,800,25,19
Q17-0898,800,9,7
Q18-0941,800,3,3
Q18-1002,800,6,6
Q17-0889,800,0,0
Q18-0943,800,0,0
Q18-0991,800,12,8
Q18-1019,800,14,8
Q18-1124,800,3,3
Q18-0933,800,8,7
Q18-1013,800,0,0
Q18-1090,800,8,8
Q18-1120,800,0,0
Q18-0922,800,22,22
Q18-1038,800,5,5
Q18-1062,800,1,0
Q18-0916,800,0,0
Q18-0953,800,2,2
Q18-1026,800,15,14
Q18-1081,800,2,2
Q19-1137,800,3,2
Q18-0946,800,0,0
Q18-1006,800,19,17
Q18-1028,800,0,0
Q18-1054,800,2,2
Q19-1145,800,0,0
Q19-1206,800,23,22
Q18-0963,800,0,0
Q18-1030,800,1,1
Q18-1117,800,0,0
Q19-1183,800,0,0
Q19-1205,800,0,0
Q18-1004,800,0,0
Q18-1101,800,0,0
Q19-1178,800,0,0
Q18-0992,145,14,14
Q18-1130,800,25,24
Q19-1221,800,25,25
Q18-0999,800,7,7
Q18-1108,800,0,0
Q19-1142,800,25,25
Q19-1185,800,2,2
Q19-1266,800,24,24
Q18-1025,800,0,0
Q18-1060,800,0,0
Q19-1143,800,0,0
Q19-1194,800,1,1
Q19-1269,800,0,0
Q18-1063,800,2,2
Q19-1151,800,0,0
Q19-1184,800,0,0
Q19-1261,800,0,0
Q18-1079,800,6,6
Q19-1132,800,4,4
Q19-1162,800,0,0
Q19-1198,800,4,4
Q19-1267,800,0,0
Q19-1342,800,1,1
Q18-1100,800,2,2
Q19-1179,800,5,4
Q19-1273,800,1,1
Q19-1313,800,0,0
Q19-1327,800,25,25
Q18-1092,800,0,0
Q19-1191,800,23,23
Q19-1264,800,0,0
Q19-1350,800,25,25
Q20-1405,800,0,0
Q18-1125,800,0,0
Q19-1190,800,1,1
Q19-1246,800,2,2
Q19-1312,800,13,13
Q20-1413,800,7,7
Q19-1212,800,0,0
Q19-1259,800,1,1
Q19-1324,800,0,0
Q20-1407,800,11,11
Q19-1175,800,6,6
Q19-1240,800,4,3
Q19-1326,800,25,25
Q20-1441,800,0,0
Q19-1215,800,0,0
Q19-1241,800,0,0
Q19-1285,800,7,7
Q19-1356,800,1,1
Q20-1375,800,0,0
Q20-1437,218,0,0
Q19-1213,800,1,1
Q19-1280,800,7,7
Q19-1334,800,3,2
Q20-1387,800,4,4
Q20-1416,800,1,1
Q20-1436,800,12,12
Q20-1515,800,1,1
Q19-1296,800,10,10
Q20-1420,800,0,0
Q20-1473,800,0,0
Q20-1520,800,2,2
Q19-1270,800,0,0
Q19-1337,800,8,8
Q20-1374,800,0,0
Q20-1411,800,7,7
Q20-1504,800,0,0
Q20-1562,800,0,0
Q19-1292,800,2,2
Q20-1379,800,3,3
Q20-1491,800,3,3
Q20-1547,800,8,8
Q19-1286,800,0,0
Q19-1353,800,0,0
Q20-1392,800,9,5
Q20-1458,800,0,0
Q19-1299,800,0,0
Q19-1338,800,2,2
Q20-1464,800,0,0
Q20-1533,800,0,0
Q20-1568,800,19,19
Q20-1595,800,25,25
Q20-1408,800,0,0
Q20-1551,800,0,0
Q20-1607,800,11,10
Q19-1315,800,0,0
Q19-1357,800,3,3
Q20-1432,800,5,4
Q20-1526,800,24,18
Q20-1580,800,4,4
Q19-1349,800,1,1
Q20-1403,800,0,0
Q20-1484,800,0,0
Q20-1618,800,50,47
Q21-1681,588,3,3
Q20-1396,800,1,1
Q20-1477,800,0,0
Q20-1531,800,0,0
Q20-1599,800,25,23
Q21-1641,800,0,0
Q21-1689,800,0,0
Q20-1453,800,0,0
Q20-1519,800,1,1
Q20-1590,800,5,5
Q21-1665,800,2,2
Q21-1698,800,1,1
Q20-1450,800,0,0
Q20-1472,800,0,0
Q20-1535,800,5,5
Q20-1577,800,2,2
Q21-1679,800,0,0
Q21-1721,800,25,25
Q20-1463,800,0,0
Q20-1524,800,0,0
Q20-1548,391,20,20
Q20-1634,800,6,6
Q21-1714,800,1,0
Q20-1483,800,5,5
Q20-1529,800,2,2
Q20-1605,800,2,2
Q21-1696,800,0,0
Q21-1771,800,3,3
Q21-1798,800,3,3
Q20-1476,800,0,0
Q20-1508,800,0,0
Q21-1655,800,2,2
Q21-1754,800,0,0
Q21-1858,800,10,9
Q20-1525,800,6,6
Q20-1606,800,0,0
Q21-1692,800,1,1
Q21-1732,800,11,9
Q21-1791,800,8,8
Q21-1855,800,25,25
Q20-1610,800,3,3
Q21-1648,800,0,0
Q21-1757,800,2,0
Q21-1862,800,14,14
Q21-1927,800,5,1
Q20-1564,800,1,1
Q21-1667,800,0,0
Q21-1704,800,1,1
Q21-1729,800,0,0
Q21-1763,800,0,0
Q21-1807,800,0,0
Q21-1867,800,4,4
Q21-1947,800,25,24
Q21-1691,800,17,17
Q21-1735,800,3,3
Q21-1863,800,10,9
Q21-1909,800,2,2
Q21-1955,800,0,0
Q22-1979,800,48,42
Q21-1650,800,0,0
Q21-1725,800,0,0
Q21-1793,800,0,0
Q21-1824,800,6,6
Q21-1883,800,25,23
Q21-1938,800,1,1
Q22-1981,800,7,7
Q21-1787,800,7,6
Q21-1859,800,0,0
Q21-1946,800,24,21
Q22-2005,800,3,3
Q21-1678,800,0,0
Q21-1764,800,3,3
Q21-1782,800,1,1
Q21-1871,800,0,0
Q22-2028,800,43,43
Q21-1670,800,0,0
Q21-1748,800,1,1
Q21-1815,800,16,16
Q21-1860,800,7,6
Q21-1916,800,1,1
Q22-1982,800,0,0
Q22-2051,800,24,6
Q21-1737,800,2,2
Q21-1777,800,2,2
Q21-1925,800,1,0
Q22-2032,800,0,0
Q22-2090,800,22,21
Q21-1702,800,2,2
Q21-1778,800,0,0
Q21-1818,800,0,0
Q21-1869,800,1,1
Q21-1928,800,23,21
Q22-2007,800,0,0
Q22-2042,800,4,4
Q22-2077,800,5,5
Q21-1760,800,0,0
Q21-1865,800,1,1
Q21-1923,800,0,0
Q22-1974,800,7,6
Q22-2075,800,0,0
Q22-2121,800,25,23
Q21-1812,800,11,11
Q21-1870,800,1,1
Q21-1895,800,1,1
Q21-1963,188,25,25
Q22-2044,800,16,15
Q22-2161,800,0,0
Q21-1823,800,0,0
Q21-1897,800,3,3
Q22-2010,800,3,3
Q22-2056,800,6,5
Q22-2110,800,5,5
Q22-2217,800,0,0
Q21-1924,800,2,2
Q21-1969,800,0,0
Q22-2089,800,4,2
Q22-2162,800,2,2
Q21-1889,800,11,11
Q22-1986,800,2,2
Q22-2021,800,4,4
Q22-2102,800,14,13
Q22-2124,800,0,0
Q22-2190,800,7,7
Q21-1921,800,0,0
Q22-2003,800,9,9
Q22-2040,800,3,2
Q22-2080,800,3,3
Q22-2155,800,2,2
Q22-2212,800,0,0
Q21-1943,800,0,0
Q22-2013,800,0,0
Q22-2135,800,0,0
Q22-2206,800,2,2
Q22-2242,800,0,0
Q23-2280,800,0,0
Q22-2014,800,0,0
Q22-2101,800,21,20
Q22-2194,800,1,1
Q22-1990,800,19,19
Q22-2061,800,1,1
Q22-2100,800,0,0
Q22-2187,800,0,0
Q22-2213,800,2,2
Q22-2257,800,9,9
Q22-1995,800,0,0
Q22-2068,800,0,0
Q22-2115,800,1,1
Q22-2158,800,2,2
Q22-2224,800,0,0
Q23-2307,800,11,11
Q22-2083,800,5,5
Q22-2178,800,0,0
Q22-2034,800,0,0
Q22-2144,800,0,0
Q22-2218,800,1,1
Q23-2317,800,0,0
Q22-2125,800,0,0
Q22-2223,800,0,0
Q23-2301,800,11,11
Q22-2201,800,1,1
Q22-2241,800,6,6
Q23-2315,800,0,0
Q22-2222,800,3,3
Q22-2136,800,3,3
Q22-2181,800,0,0
Q22-2226,800,0,0
Q23-2272,800,0,0
Q23-2350,800,0,0
Q22-2179,800,13,13
Q22-2268,800,0,0
Q23-2296,800,0,0
Q23-2337,800,6,6
Q22-2221,800,4,4
Q23-2358,800,0,0
Q22-2252,800,0,0
Q23-2323,800,0,0
Q22-2227,800,1,0
Q23-2348,800,3,2
Q24-2386,800,4,4
Q23-2343,800,1,0
Q24-2376,800,1,1
Q24-2401,800,0,0
Q23-2370,800,3,2
Q23-2287,800,3,3
Q23-2360,800,20,19
Q23-2322,800,0,0
Q24-2431,800,0,0
Q24-2417,800,0,0
Q24-2396,800,10,10
Q24-2445,800,0,0
Q24-2383,800,1,1
Q24-2427,800,8,6
Q24-2439,800,5,5
Q23-2347,800,12,9
Q24-2391,800,0,0
Q24-2446,800,1,0
Q24-2377,800,1,1
Q24-2457,800,0,0
Q24-2373,800,23,22
Q24-2466,800,0,0
Q24-2490,800,8,7
Q24-2388,800,0,0
Q24-2480,800,0,0
Q11-0018,800,3,3
Q11-0030,800,1,0
Q11-0052,800,25,23
Q11-0010,800,0,0
Q11-0046,800,5,5
Q11-0020,800,4,4
Q11-0042,800,0,0
Q11-0066,800,9,9
Q11-0085,800,1,0
Q11-0007,800,0,0
Q11-0043,800,25,23
Q11-0053,800,13,13
Q11-0089,800,9,8
Q11-0049,800,0,0
Q11-0086,800,8,8
Q11-0067,800,13,13
Q12-0101,800,6,6
Q11-0027,800,0,0
Q12-0122,800,19,19
Q11-0080,800,2,1
Q11-0065,800,18,10
Q12-0121,800,12,3
Q11-0081,800,21,19
Q12-0154,800,20,17
Q11-0079,800,2,2
Q11-0078,800,11,11
Q12-0126,800,4,0
Q12-0158,800,13,4
Q12-0172,800,4,2
Q12-0109,800,8,5
Q12-0140,208,22,2
Q12-0163,800,27,25
Q12-0146,800,24,23
Q13-0225,800,25,13
Q12-0166,800,16,16
Q12-0117,800,7,7
Q12-0144,800,0,0
Q13-0206,800,0,0
Q12-0123,800,3,2
Q13-0204,800,25,25
Q12-0149,800,14,14
Q13-0202,800,15,9
Q13-0241,800,4,4
Q12-0175,800,0,0
Q13-0275,800,9,7
Q12-0178,800,7,0
Q13-0287,800,25,25
Q13-0200,800,0,0
Q13-0231,800,0,0
Q13-0195,800,17,14
Q13-0240,800,0,0
Q13-0299,800,9,9
Q12-0189,800,0,0
Q13-0211,800,3,2
Q13-0286,800,7,7
Q13-0203,800,19,19
Q14-0332,800,25,24
Q13-0232,800,16,15
Q13-0277,800,18,17
Q14-0321,800,0,0
Q13-0210,800,0,0
Q13-0276,800,1,1
Q13-0242,800,5,5
Q14-0318,692,4,3
Q13-0257,800,3,2
Q14-0319,800,24,21
Q13-0285,800,11,11
Q14-0356,800,1,0
Q13-0247,800,6,6
Q13-0294,800,0,0
Q14-0313,800,14,10
Q13-0281,800,5,5
Q14-0340,800,3,2
Q14-0375,800,7,6
Q13-0289,800,25,24
Q14-0330,800,5,5
Q14-0391,800,7,7
Q15-0430,800,25,24
Q14-0382,800,13,8
Q14-0335,800,10,7
Q14-0395,800,8,8
Q14-0352,800,9,9
Q14-0405,800,0,0
Q15-0440,800,7,6
Q14-0351,800,0,0
Q14-0326,800,3,3
Q14-0389,800,0,0
Q15-0450,800,16,16
Q14-0381,319,3,2
Q15-0479,800,25,23
Q14-0361,800,25,24
Q15-0428,800,16,14
Q14-0368,800,0,0
Q15-0483,800,18,14
Q14-0376,800,25,24
Q15-0436,800,3,1
Q15-0506,800,22,20
Q15-0454,800,25,24
Q15-0439,800,4,3
Q14-0419,800,22,22
Q15-0478,800,25,21
Q15-0535,800,11,10
Q14-0414,800,25,25
Q15-0451,800,1,1
Q15-0471,800,4,3
Q15-0560,337,21,12
Q16-0583,800,25,25
Q15-0464,800,5,5
Q15-0538,800,25,24
Q15-0445,800,7,7
Q15-0509,800,0,0
Q16-0586,800,12,8
Q15-0469,800,0,0
Q16-0580,800,3,1
Q15-0441,800,1,0
Q15-0456,800,0,0
Q15-0510,800,25,25
Q15-0550,800,17,2
Q16-0591,800,8,7
Q16-0577,800,23,20
Q15-0482,800,20,11
Q16-0582,800,1,1
Q15-0503,800,16,14
Q15-0532,800,0,0
Q16-0593,800,14,14
Q16-0643,800,25,22
Q15-0505,800,0,0
Q15-0557,800,25,25
Q16-0658,800,14,12
Q15-0520,800,8,7
Q16-0620,800,25,25
Q16-0682,800,0,0
Q15-0514,800,5,5
Q16-0594,800,1,1
Q16-0633,800,5,5
Q16-0691,800,6,6
Q15-0531,800,6,6
Q16-0601,800,0,0
Q16-0572,800,0,0
Q16-0619,800,15,15
Q16-0710,800,1,1
Q15-0554,800,22,22
Q16-0602,800,11,11
Q16-0654,800,9,9
Q17-0763,800,13,7
Q16-0636,800,29,28
Q16-0715,800,25,25
Q16-0650,800,2,2
Q16-0694,800,9,7
Q17-0742,800,6,6
Q16-0589,800,2,2
Q16-0626,800,6,6
Q16-0676,800,10,7
Q17-0792,800,25,0
Q17-0802,800,33,25
Q16-0632,800,1,0
Q17-0743,800,3,2
Q17-0801,800,1,1
Q16-0640,800,2,1
Q17-0747,800,15,15
Q17-0811,800,25,0
Q17-0843,800,5,5
Q16-0677,800,3,3
Q16-0695,800,5,5
Q17-0729,800,12,12
Q17-0770,800,6,5
Q17-0851,800,25,10
Q17-0884,800,14,12
Q16-0712,226,25,1
Q17-0793,800,33,21
Q16-0685,800,3,3
Q17-0749,800,1,1
Q17-0778,800,21,19
Q17-0834,800,25,23
Q16-0701,800,20,17
Q17-0744,800,2,2
Q17-0839,800,25,25
Q17-0752,800,15,15
Q17-0828,800,1,1
Q18-0917,800,25,25
Q17-0790,800,48,38
Q17-0842,800,12,11
Q18-0957,800,2,2
Q17-0739,800,10,8
Q17-0870,800,0,0
Q17-0808,800,0,0
Q17-0841,800,9,9
Q18-0924,800,19,18
Q17-0762,800,9,7
Q17-0784,800,22,21
Q17-0852,800,0,0
Q17-0883,800,0,0
Q18-0929,800,18,17
Q18-0973,800,2,1
Q17-0872,800,0,0
Q18-0927,800,2,1
Q18-0989,800,9,7
Q17-0794,800,0,0
Q17-0849,800,1,1
Q18-0926,800,4,4
Q17-0798,800,4,4
Q17-0835,800,8,0
Q17-0900,800,3,3
Q18-0967,800,11,11
Q17-0848,800,17,17
Q17-0906,800,8,8
Q18-0990,800,0,0
Q18-1065,800,24,11
Q17-0908,800,14,7
Q18-1067,800,25,0
Q17-0899,800,2,0
Q18-0961,800,24,24
Q18-1036,800,0,0
Q17-0895,800,2,2
Q18-0950,800,20,20
Q18-1007,800,4,4
Q18-1045,800,3,3
Q19-1138,800,25,24
Q18-0949,800,0,0
Q18-1050,800,12,5
Q18-1099,800,16,16
Q17-0903,800,15,15
Q18-1003,800,10,9
Q18-1052,800,0,0
Q18-1088,800,25,25
Q18-0928,800,3,0
Q18-0975,800,0,0
Q18-1032,800,2,0
Q18-1087,800,1,1
Q19-1146,800,0,0
Q18-0948,800,5,5
Q18-1008,800,0,0
Q18-1034,800,0,0
Q18-1084,800,2,2
Q19-1150,800,2,2
Q18-0951,800,0,0
Q18-0988,800,1,1
Q18-1044,800,8,8
Q18-1121,800,0,0
Q19-1197,800,13,13
Q19-1216,800,6,6
Q18-1039,800,0,0
Q19-1153,800,0,0
Q19-1195,800,25,25
Q18-1051,800,20,19
Q19-1158,800,11,11
Q19-1225,800,0,0
Q18-1020,800,2,2
Q18-1113,800,13,12
Q19-1155,800,9,9
Q19-1231,800,2,1
Q19-1298,800,2,2
Q18-1029,800,10,10
Q18-1073,800,0,0
Q19-1156,800,0,0
Q19-1196,800,23,21
Q19-1281,800,0,0
Q18-1111,800,1,1
Q19-1159,800,3,3
Q19-1209,800,0,0
Q19-1263,800,2,2
Q18-1095,800,5,3
Q19-1134,800,19,19
Q19-1165,800,0,0
Q19-1220,800,25,23
Q19-1268,800,3,2
Q18-1075,800,0,0
Q18-1126,800,7,6
Q19-1228,800,1,1
Q19-1275,800,7,7
Q19-1314,800,2,2
Q19-1328,800,3,2
Q18-1103,800,2,2
Q19-1193,800,1,1
Q19-1274,800,2,1
Q19-1364,800,1,1
Q18-1107,800,0,0
Q18-1128,800,4,4
Q19-1192,800,22,22
Q19-1249,800,1,1
Q19-1332,800,2,2
Q20-1424,800,1,1
Q19-1233,800,2,2
Q19-1265,800,1,1
Q19-1345,800,9,9
Q20-1412,800,2,2
Q19-1182,800,1,1
Q19-1245,800,13,11
Q20-1388,800,3,3
Q20-1446,800,0,0
Q19-1222,800,0,0
Q19-1248,800,0,0
Q19-1304,800,0,0
Q19-1363,800,9,7
Q20-1406,800,0,0
Q20-1462,800,24,23
Q19-1217,800,9,9
Q19-1284,800,0,0
Q19-1346,800,1,1
Q20-1400,800,4,4
Q20-1425,800,6,6
Q20-1442,800,2,2
Q19-1235,800,0,0
Q19-1351,800,0,0
Q20-1431,800,24,22
Q20-1488,800,0,0
Q19-1227,800,0,0
Q19-1272,800,0,0
Q19-1339,800,0,0
Q20-1378,800,0,0
Q20-1429,800,7,6
Q20-1521,800,0,0
Q20-1567,800,0,0
Q19-1295,800,2,2
Q20-1404,800,0,0
Q20-1506,800,25,15
Q20-1556,800,11,10
Q19-1287,134,8,6
Q20-1376,800,25,24
Q20-1395,800,0,0
Q20-1523,800,0,0
Q19-1301,800,1,1
Q20-1398,800,0,0
Q20-1485,800,25,24
Q20-1538,800,5,5
Q20-1583,800,18,18
Q20-1600,800,4,4
Q20-1410,800,8,8
Q20-1555,800,5,4
Q20-1612,800,6,6
Q19-1330,800,20,19
Q19-1367,800,0,0
Q20-1451,800,0,0
Q20-1560,800,2,2
Q20-1613,800,0,0
Q19-1355,800,0,0
Q20-1422,800,0,0
Q20-1496,800,2,2
Q21-1663,800,0,0
Q20-1386,800,0,0
Q20-1434,800,2,2
Q20-1486,800,0,0
Q20-1532,800,10,10
Q20-1603,800,0,0
Q21-1643,800,33,32
Q21-1712,800,1,1
Q20-1478,800,6,6
Q20-1552,800,25,24
Q20-1626,800,24,24
Q21-1668,800,14,14
Q21-1716,800,30,30
Q20-1456,800,9,7
Q20-1489,800,9,9
Q20-1537,800,5,5
Q20-1635,800,1,1
Q21-1690,800,0,0
Q21-1723,800,2,2
Q20-1468,800,9,9
Q20-1536,800,1,1
Q20-1587,800,0,0
Q21-1699,800,8,8
Q21-1768,800,0,0
Q20-1495,800,0,0
Q20-1530,800,5,5
Q20-1611,800,1,1
Q21-1746,800,3,3
Q21-1780,800,25,21
Q21-1825,800,6,5
Q20-1479,800,0,0
Q20-1550,800,1,1
Q21-1656,800,9,9
Q21-1758,800,5,4
Q20-1505,800,6,6
Q20-1574,800,0,0
Q20-1621,800,0,0
Q21-1706,800,17,17
Q21-1733,800,1,1
Q21-1797,800,1,1
Q21-1876,800,2,0
Q20-1614,800,0,0
Q21-1657,800,1,1
Q21-1819,800,3,3
Q21-1892,800,25,23
Q21-1937,800,0,0
Q20-1576,800,0,0
Q21-1676,800,0,0
Q21-1707,800,0,0
Q21-1734,800,25,22
Q21-1770,800,0,0
Q21-1813,800,5,5
Q21-1899,800,6,5
Q20-1631,800,5,4
Q21-1693,800,0,0
Q21-1767,800,2,2
Q21-1900,800,25,21
Q21-1915,800,35,33
Q21-1962,577,1,0
Q20-1589,800,0,0
Q21-1652,800,11,11
Q21-1730,800,0,0
Q21-1794,800,2,2
Q21-1839,800,7,5
Q21-1890,800,0,0
Q21-1958,800,10,10
Q22-1983,800,50,49
Q21-1805,800,1,0
Q21-1864,800,8,8
Q21-1952,800,11,10
Q22-2008,800,5,0
Q21-1688,757,3,3
Q21-1766,800,6,5
Q21-1843,800,4,4
Q21-1874,800,5,5
Q22-2030,800,0,0
Q21-1673,800,0,0
Q21-1795,800,1,1
Q21-1831,800,3,3
Q21-1885,800,12,12
Q21-1957,800,4,4
Q22-2012,800,22,22
Q22-2058,800,1,0
Q21-1739,800,2,2
Q21-1784,800,0,0
Q21-1951,800,3,3
Q22-2064,800,26,24
Q22-2095,800,25,25
Q21-1703,800,0,0
Q21-1781,800,10,10
Q21-1835,800,8,8
Q21-1882,800,0,0
Q21-1933,800,9,9
Q22-2011,800,1,1
Q22-2043,580,7,7
Q22-2082,800,25,24
Q21-1796,800,0,0
Q21-1873,800,1,1
Q21-1948,800,25,24
Q22-1975,800,1,1
Q22-2086,800,4,4
Q22-2141,800,6,6
Q21-1829,800,0,0
Q21-1872,800,4,4
Q21-1902,800,3,3
Q21-1964,800,3,0
Q22-2120,800,7,7
Q22-2168,800,18,17
Q21-1868,800,0,0
Q21-1945,800,0,0
Q22-2026,800,33,32
Q22-2059,800,1,0
Q22-2119,800,5,5
Q21-1826,800,0,0
Q21-1931,800,1,1
Q22-1973,800,3,3
Q22-2097,800,0,0
Q22-2167,800,0,0
Q21-1898,800,0,0
Q22-1992,800,2,2
Q22-2038,800,0,0
Q22-2116,800,0,0
Q22-2138,800,6,6
Q22-2204,800,1,1
Q22-1984,800,10,10
Q22-2016,800,7,6
Q22-2041,800,1,1
Q22-2092,800,5,5
Q22-2166,800,5,5
Q22-2240,800,17,16
Q21-1944,800,5,5
Q22-2055,800,1,1
Q22-2164,800,1,1
Q22-2211,800,0,0
Q22-2244,800,6,4
Q23-2284,800,11,11
Q22-2019,800,8,7
Q22-2107,800,5,5
Q22-2228,800,5,5
Q22-2046,800,0,0
Q22-2062,800,7,7
Q22-2139,800,4,4
Q22-2189,800,0,0
Q22-2216,800,0,0
Q22-2261,800,12,12
Q22-2024,800,3,3
Q22-2072,800,0,0
Q22-2129,800,2,2
Q22-2163,800,2,2
Q23-2275,800,10,8
Q22-2015,800,0,0
Q22-2088,800,10,10
Q22-2219,800,3,3
Q22-2047,800,1,1
Q22-2156,800,4,4
Q23-2277,800,2,2
Q23-2319,800,0,0
Q22-2130,800,0,0
Q22-2255,800,1,1
Q22-2079,800,0,0
Q22-2202,800,8,8
Q22-2262,800,0,0
Q22-2133,800,0,0
Q22-2248,800,8,7
Q22-2152,800,2,2
Q22-2188,800,2,2
Q22-2233,800,0,0
Q23-2298,800,0,0
Q22-2149,800,0,0
Q22-2215,431,1,1
Q22-2269,800,1,1
Q23-2303,800,0,0
Q23-2338,800,0,0
Q22-2243,800,0,0
Q23-2364,800,0,0
Q22-2254,800,7,7
Q23-2328,800,0,0
Q22-2247,800,3,3
Q23-2354,800,8,8
Q22-2259,800,0,0
Q23-2349,800,0,0
Q24-2381,800,1,1
Q23-2279,800,0,0
Q24-2378,800,3,3
