name,fid
Giffin - Roxy Ann 138 kV,L:7260:7262:138
Bullard - Wasco 138 kV Circuit 1,L:7232:8243:138
Proler - Bollman 138 kV #1,L:6214:6715:138
Bunker Lake - Clinton Power Station 138 kV line,L:8471:8580:138
Maple Lake Substation - Pinnacle Peak Walc 138 kV Ckt 1,L:6589:6590:138
Overlake - Pisgah 100 kV Circuit 1,L:18756:18759:100
He Ramsey Substation - Ottawa Avenue 161 kV,L:2755:2774:161
Meyer - Owens Illinois Substation 138 kV,L:6865:6872:138
Firestone - Circle Green 138 kV,L:8176:18150:138
Maalaea - Minonk Wind Farm 500 kV #1,L:24592:24642:500
Dessau - Norfork 345 kV Line 1,L:8262:8275:345
Hill - Houghton 138 kV,L:9323:18446:138
Evergreen Park - Guilbeau Electric 230 kV #1,L:23053:23056:230
Air Force Base - Cia 138 kV Line 1,L:8705:9880:138
Leake - Brokaw 138 kV,L:17698:17699:138
Rio Grande City - Sponge 100 kV line,L:23102:23103:100
Swall - Bedford Road 138 kV Line 1,L:7504:8397:138
Peters Mountain - Keifer-Jackson 138 kV Line 1,L:18264:18525:138
Claude Vandyke - Hutchinson Energy Ctr 138 kV Line 1,L:6058:6624:138
Bull Run - Greenwater 138 kV #1,L:9866:9867:138
Surry - Hilltop 230115Kv 138 kV Circuit 1,L:10295:10305:138
Tcuya - Dock 138 kV Cir. 1,L:8404:18134:138
Wixom - Table Mt 138 kV,L:5646:5659:138
Nooksett Hydro - Fremont Energy Ctr 100 kV Circuit 1,L:20126:20129:100
Lamping Sta - S Bradley 100 kV,L:22869:22900:100
Moreau - State St 100 kV Ckt 1,L:21774:21784:100
Clermont East - Big Crk 3 138 kV,L:9038:9043:138
Geneden Substation - Coffeeville 138 kV #1,L:10287:10296:138
Dormont - Marshall Wind Farm 138 kV Line 1,L:7317:7332:138
St. Martins - Upsco 138 kV Line 1,L:10233:10237:138
Wine Crk Station - Tweedy Substation 138 kV line,L:5212:5767:138
Spiritwood Station - Waters 138 kV #1,L:10204:10206:138
Peavine Substation - Astoria 138 kV Cir. 2,L:8321:8322:138
Cherokee County Cogen - Plaster Substation 100 kV,L:19270:19271:100
Trout Lake Ese - Mormon Flat Dam 100 kV Circuit 1,L:19384:19399:100
Bond-Elk Grove Florin - Midway-Siena 138 kV Cir. 1,L:7484:7580:138
Aiyansh - Prevost 100 kV,L:22828:23528:100
Yards Creek - Hayfork 345 kV Cir. 1,L:5677:5972:345
East Marysville - Sugarloaf 100 kV,L:18854:18856:100
Cummings - Mount Laurel Substation 345 kV,L:5237:5999:345
Manchaca - Willow Glen 138 kV,L:5815:5816:138
Bay De Noc - Beck St 100 kV #1,L:23409:23417:100
Cane Run Switching - Elk City Llc 138 kV Circuit 1,L:18476:18478:138
Granite Hills Tap - Royalton 138 kV Cir. 1,L:18143:18388:138
Haines - Wells St 100 kV Cir. 1,L:23112:23524:100
Oak Creek - Stone Substation 138 kV #1,L:17230:17796:138
S Shaftbury - Dodge Jct 100 kV #1,L:22826:23184:100
Ge3 - Weyerhaeuser Co 138 kV line,L:17003:17582:138
Fall Riv - Acec Winnebago 100 kV Ckt 1,L:23147:23159:100
Monrovia - Nesit 138 kV Cir. 1,L:6963:6968:138
S Berwick - York Ctr 100 kV Line 1,L:19891:19896:100
Henagar - Nw Term 100 kV,L:22888:23492:100
Wec - Kean Mtn And Grassy Crk 345 kV Ckt 1,L:9633:18368:345
Hiwasee Riv - Lucent 230 kV,L:19035:19094:230
Chiriaco - Leon 138 kV Ckt 1,L:18342:18343:138
Covanta Wallingford Energy - Bear Crk 100 kV L,L:23276:23291:100
Broadford 2 - Glenn-Colusa Irrig 138 kV,L:18175:18181:138
Flax Hill Substation - Woodchuck 100 kV,L:22871:22886:100
Frackville - Falling Water 138 kV #1,L:6314:6981:138
Canamah - Mount Holy 230 kV Ckt 1,L:21989:22765:230
Constanine Hydro - Corey 100 kV Ckt 1,L:21038:21043:100
St. Charles Power Plant - Seal Ock 100 kV Line 1,L:19735:19928:100
Brassua Hydroelectric Project - Aes Columbia Power 138 kV Line 1,L:7767:19648:138
Rubicon - Grant Hill 138 kV Circuit 1,L:8456:8511:138
Carr Substation - Dayton'S Bluff 100 kV Line,L:20071:20131:100
North City - Sugarmill 138 kV Ckt 1,L:17357:17359:138
Moreau - E Mesa 2 Substation 100 kV,L:21784:21806:100
Sahtlam - Smi 138 kV,L:16925:16926:138
Rome - Rossville 138 kV #1,L:8678:8679:138
King St - Wapato 138 kV Line,L:6514:6657:138
Igersoll Rand - Bethlehem Power Plant 138 kV Cir. 1,L:9239:9250:138
Upland - Las Cruces 138 kV Line 1,L:17228:17471:138
Lisle Substation - Fall Riv 100 kV #1,L:23143:23147:100
Trap Falls - Yahuecas 8203 100 kV Line 1,L:22018:22020:100
Dededo - Water 230 kV,L:20177:20203:230
Market St - Archbald Power Station 345 kV Cir. 1,L:6513:7096:345
Toston - Starkey Gulch 100 kV,L:23256:23397:100
Norris Dam - Kosuth 138 kV Cir. 1,L:7762:7763:138
Olinda - Janson Ln Substation 100 kV Line 1,L:22927:22956:100
Wagon Mound - Central Plains Wind Farm 100 kV #1,L:18725:19362:100
Galesburg Monmouth Boulevard - Cartes 138 kV Cir. 1,L:9223:9387:138
Nelway - Puerto De Ponce Substation 100 kV #1,L:18975:18978:100
Round Rock - Bracketville 138 kV #1,L:18007:18008:138
Mount Si - Kimballton 138 kV #1,L:9409:18440:138
Ou Spirit Wind Farm - Abingdon 138 kV #1,L:9608:9611:138
Tennoll - Hartford City 100 kV Line 1,L:21835:21842:100
Estacaa - Flambeau Solar Partners 100 kV Circuit 1,L:19100:19102:100
Charlton Street - Keene 138 kV Ckt 1,L:5514:5516:138
Mill Seat Renewable Energy Facility - Shred 345 kV Cir. 1,L:6225:7135:345
Kirby - Jamacha Tap 138 kV,L:2650:5199:138
North Troy - Georgia Pacific Paper 100 kV,L:22843:23499:100
Wallingford - Bridgeport Energy Substation 345 kV #1,L:17879:18164:345
Beechwood Dp - Western Fher 138 kV Cir. 1,L:7751:7764:138
Bridle Trails - Thorndike Substation 138 kV,L:10142:10289:138
Sub 20105 - Don Julio-Lorac Vista 100 kV Circuit 1,L:20099:20105:100
East Longmeadow - Las Monjas 1416 138 kV,L:9141:9196:138
Spartanburg Water System - Leander 100 kV #1,L:23820:23877:100
Cooper Crk - Lawrenceville S 138 kV Cir. 1,L:18072:18079:138
Opp - Yale 138 kV line,L:16915:17385:138
Wolverine Crk - East Murray 100 kV Cir. 1,L:19524:19528:100
Bullittsville - Boeing Longacres 138 kV,L:16983:16984:138
Segs 3 - Messick 100 kV Line 1,L:22969:23500:100
Galion - Bear Creek Dam 138 kV Ckt 1,L:17324:17325:138
Broadview - Hillje 138 kV,L:17610:17611:138
Lamping Station - S Bradley 100 kV Circuit 1,L:22869:22900:100
Wartburg - Contra Costa 3 138 kV #1,L:18041:18043:138
Barnesville - Elk River City Of Substation 138 kV Ckt 1,L:5159:5331:138
Hayfork - Yards Crk 345 kV Line 1,L:5677:5972:345
Walton - Holtsville Mgu 138 kV L,L:18610:18624:138
Pleasure Ridge - Woodlawn 230 kV #1,L:18772:18877:230
Hamilton Wolfe Road - Belcher Mtn 138 kV,L:18364:18367:138
Allatoona - Sugarcreek 100 kV Cir. 2,L:18995:19054:100
Dana - Ocean Road 138 kV,L:6159:6180:138
Bristol - Hewitt Road - Air Liquie 138 kV Ckt 1,L:7234:8227:138
Alley Park - New Hollandale 138 kV Circuit 1,L:8026:8027:138
Leon - Chiriaco 138 kV line,L:18342:18343:138
Cartwright - Cuthbert 138 kV Ckt 1,L:5320:6891:138
Devine - Bunker 2 Tap 138 kV Line 1,L:6488:6501:138
Gwinn - Mcclellan-Bell 138 kV Circuit 1,L:7215:7253:138
Vilas - Jonesborough 138 kV Cir. 1,L:16192:16812:138
Hamilton Pa - Casky 138 kV Ckt 1,L:7068:7115:138
Dunlap - Shawboro 100 kV,L:22016:22025:100
N Bench - Sykes Road 100 kV line,L:18998:19539:100
Winthrop - Morganton Sta 5 100 kV Line 1,L:22943:22957:100
Murfreesboro Road - Garvins Falls 138 kV Line 1,L:5739:5757:138
Albatross - Alto 138 kV,L:8706:9705:138
Mckamy - Trincomali 138 kV #1,L:9437:9438:138
Middleburg - Milton R Young 138 kV Circuit 1,L:5223:5539:138
Nebraska City - Ponoma Substation 100 kV Line 1,L:23136:23152:100
Kahe 2 - Ranchtown 138 kV Ckt 1,L:7814:7815:138
Davey Town Substation - Pontcharrain Park 100 kV Line 1,L:23104:23118:100
Falls City - Navy Mole 138 kV Cir. 1,L:5123:5149:138
Rockview - Charles R Lowman 100 kV,L:19709:19715:100
Aqualinda - Drouet 230 kV Circuit 1,L:18827:19275:230
Jax Hts - Franklin Park 100 kV,L:22844:23450:100
Carmel Rohrer - Lakeside 2 100 kV Cir. 1,L:22990:23441:100
N Bonneville - Schultz 138 kV #1,L:6317:6320:138
Sweetwater - Mathew Substation 138 kV Circuit 1,L:9546:9556:138
Morgan County - Ironwood 100 kV #1,L:19060:19063:100
Standard Oil 5 - Engle-Eastern Tap 138 kV,L:8847:8858:138
Hydville - Crown 100 kV Cir. 1,L:22845:22998:100
Pawtucket Power Associates - Gist Crk 230 kV Circuit 1,L:19562:19566:230
Castro Vly - Wasson Switching 138 kV Circuit 1,L:7606:7610:138
Mount Tom Substation - Rochester 345 kV #1,L:5755:5924:345
Walthall - Geysers Tap 2 138 kV Cir. 1,L:9770:10265:138
Sycamore Canyon - Miguel 230 kV Line 1,L:19705:20258:230
Taylor Substation - Lucent 100 kV Cir. 2,L:19076:19094:100
Des Moines Substation - Apollo 138 kV Line 1,L:6156:6841:138
Cooper Crk - Gladeview 138 kV,L:18056:18072:138
Sickler - Clayton 138 kV Ckt 1,L:5284:6903:138
Ruch - Bodhead 138 kV Circuit 1,L:6598:6601:138
West Dallas Tap - Mccrtney Substation 100 kV #1,L:19604:20234:100
Bell Haven Substation - Viriginia Hills 138 kV Cir. 1,L:9696:9850:138
Crivitz Substation - Lemolo Powerplant Number 2 138 kV L,L:6377:6401:138
Staples - Surrey 138 kV #1,L:18398:18608:138
Nagel - Needham 138 kV #1,L:5671:5795:138
Walton Discover Power Facility - Elbe 138 kV Circuit 1,L:7222:7302:138
Kevlar - Marlboro 138 kV,L:9812:10309:138
Florida City - Stelco 138 kV,L:18128:18129:138
Ritchie - Oak Grove 138 kV Line 1,L:8961:8972:138
Defrain - Northview 138 kV Line 1,L:6024:8621:138
Great Lakes - Adkins 500 kV Circuit 1,L:19288:19586:500
Walton - Holtsville Mgu 138 kV,L:18610:18624:138
Tower Automotive - Hegewisch 100 kV Cir. 1,L:22958:22963:100
Cavendish - Gould City Sw Sta 138 kV Ckt 1,L:5664:5828:138
Clifton Forge - Heights Reit 138 kV #1,L:9140:9146:138
Deer Park Energy Ctr - Lytton Springs 138 kV #1,L:7515:8259:138
Northeast - Lucky 138 kV #1,L:9995:10302:138
Cove Avenue - Whitehurst Substation 138 kV #1,L:6029:8614:138
Progress Energy Electric-Belleview - Sporn 138 kV Circuit 1,L:18348:18707:138
Praire Crk - Incline 100 kV Ckt 1,L:20134:20136:100
Vega Alta 9101-9105 - New Barnesville 138 kV #1,L:5512:6211:138
Harvest Power Orlando - Villas De Castro 3013 100 kV Cir. 1,L:18719:18774:100
Dunnellon Substation - Greater Detroit Resource Recovery 138 kV #1,L:9228:9408:138
Utica Junction - Forest City Light Plant 345 kV Line 1,L:6198:6200:345
20Th St - Patchogue 100 kV #1,L:19295:19509:100
Spring Street - Nelson Dewey Sw Yd 138 kV Line 1,L:9229:9628:138
Mount Zion - Oliver Dam 138 kV #1,L:8632:8871:138
Denmark - Azalea 100 kV Ckt 1,L:19933:19935:100
Mullens - Bandera 138 kV Line 1,L:18363:18387:138
Flax Hill Substation - Higbee 100 kV #1,L:22886:22889:100
Ss3143 - Lakegen 138 kV Circuit 1,L:7286:7395:138
Randle - Blackberry 100 kV Line 1,L:19010:19107:100
Sparrows Point - Amazon Maryland Dca1 138 kV Ckt 1,L:8493:8503:138
Newton Bulk - Girard 100 kV L,L:20216:20224:100
Movie - Mitchell Northwest 138 kV Ckt 1,L:8704:8899:138
Wansley Combined Cycle - 22Nd St 138 kV,L:9351:9359:138
Thre Rivers - Concord 230 kV Circuit 1,L:21041:22022:230
Jacksons Ferry - Chisholm 138 kV Ckt 1,L:9297:9529:138
Union Ctr - C D Mcintosh Jr 138 kV Cir. 1,L:17006:17007:138
Lake Kingman - S Bellevue Substation 138 kV Cir. 1,L:10099:10304:138
Parr Substation - Ebensburg Power 138 kV,L:7594:7596:138
Lawrence Livermore - Julia 138 kV Line 1,L:8773:8797:138
Route 59 - Spring Brook 100 kV Ckt 2,L:23167:23189:100
Shaky Joe Swamp Tap - Scott 100 kV Circuit 1,L:23194:23329:100
Payne - College Lake 100 kV #1,L:19471:19493:100
Pitchgen - H B Robinson 100 kV Ckt 1,L:18974:19558:100
Cambridge - Frey 100 kV Circuit 1,L:19975:20001:100
Cloverbank - Vaseaux Lake 138 kV Line 2,L:8715:8939:138
Montpelier Electric Generating Sta - Spanish Creek 500 kV Circuit 1,L:20269:22708:500
Conowingo - Hogan 345 kV Circuit 1,L:9078:9104:345
Grasonville - Marble 138 kV,L:8977:8983:138
Timken - Volcano 100 kV line,L:20159:20178:100
Hubbardstown Substation - Fortson 138 kV Line,L:17843:18620:138
Spiritwood Sta - Suffolk 138 kV Circuit 1,L:10203:10204:138
Mcewen - St Marys 100 kV,L:18741:19574:100
Boeing Longacres - W Fork 138 kV Line 1,L:16983:17574:138
Valerie - Wellsville 100 kV,L:22975:23032:100
Halesite - Fenner 100 kV L,L:22996:23026:100
Bayou Chico - Rock Tavern 100 kV Ckt 1,L:19231:19239:100
Big Crk - Biola 138 kV,L:5670:5842:138
S Whitehall - Menaul Tap 138 kV,L:6297:8354:138
Forest Avenue Sta - Port Edwards Mill 100 kV #1,L:18912:19045:100
Lions Rd - Norfolk Street 345 kV Line 1,L:7555:7557:345
Overton 2 - Rock-Tenn Mill 138 kV,L:6582:6583:138
Decatur - S Decatur 100 kV #1,L:21750:21752:100
Medical Ctr - Kasson Tap 2 345 kV Cir. 1,L:5136:5157:345
Seagoville - Tittabawassee 138 kV,L:5602:5858:138
Fair Oaks - Fay St 138 kV Cir. 1,L:5493:5990:138
Boulder Basin - Nasa 138 kV Line 1,L:8952:8953:138
Bremo Bluff - Buhl 138 kV Line,L:9641:9658:138
Benndale - Pirkey 138 kV Line 2,L:5981:5988:138
Louisa Generation Facility - Jim Branch 138 kV Line 1,L:9643:9653:138
Imhoff Tap 2 Substation - Sagamore Plant Cogeneration 138 kV,L:7177:7220:138
Cahllia - Canas Tc 100 kV Circuit 1,L:20142:20148:100
Sweetwater - Mathew 138 kV Ckt 1,L:9546:9556:138
Whitewater - Argeta 100 kV,L:22777:23108:100
Seier - Holgate 138 kV,L:17919:18205:138
Sunderland - K St 138 kV Cir. 1,L:8590:8593:138
Wheeler - South Christianburg 138 kV #1,L:9927:9928:138
Oak Brook - Bonney Lake 100 kV #1,L:22994:23176:100
Palaau Power - Marine Air Base 138 kV Cir. 1,L:17033:17036:138
Dover - Grand Coulee 2 100 kV Cir. 1,L:19508:19547:100
Mt. View - Mathew 138 kV Circuit 1,L:9551:9556:138
Gadsden - Wimbledon Substation 138 kV #1,L:18535:18585:138
Endako Cust - Maguire Rd 100 kV Circuit 2,L:23171:23187:100
Wilmot - Hoodoo Wash 100 kV Cir. 1,L:24037:24038:100
Second Fork Substation - Levittown 138 kV Line 1,L:5256:5941:138
North Huntington - Hebron 138 kV Circuit 1,L:9307:9355:138
Scot - Aec 300 100 kV #1,L:23015:23155:100
Penhook - Leesville 138 kV Ckt 1,L:9380:9667:138
Canal - Booneville 138 kV #1,L:9118:9119:138
S Carthage - Bayfield 100 kV,L:23149:23188:100
Barbadoes - Walnut Wind Farm 138 kV Line,L:6758:6784:138
Chaska Sw Station - Galion Generating Sta 230 kV #1,L:19451:20261:230
Barrett - Drouet 230 kV #1,L:19188:19275:230
Engle-Eastern - Ash Street 138 kV L,L:5492:5515:138
Boulevard - Friendship 138 kV,L:7819:7820:138
Crowleys - Deep Crk Substation 138 kV Line,L:8765:9064:138
Oshkosh - Grantsville 138 kV Circuit 1,L:9751:10210:138
German - Colfx 100 kV Cir. 1,L:22593:22766:100
Mckee Run - Nrg Energy Center Dover 138 kV Line 1,L:8300:8387:138
Tollgate - Greens Road 138 kV line,L:10354:10358:138
Compo - Shelline 138 kV Ckt 1,L:6974:6977:138
Luquillo 2201 - Bethpage 138 kV,L:8357:9039:138
Seatac - Renaissance Station 138 kV Ckt 1,L:5609:5662:138
Sta 153 - S Baltimore 138 kV #1,L:7663:7666:138
Newton - Pine Tree Acres Wm Lfgte 138 kV Line 1,L:6330:6825:138
Ncpa 3&4 - Soutfield 100 kV Cir. 1,L:19165:19405:100
Hills - Genoa 100 kV L,L:20204:20205:100
Westland - Tartesso 500 kV,L:8257:20040:500
Sinai - Halifax 138 kV,L:9426:9430:138
Marcos - Glasscock 100 kV Cir. 1,L:20993:21004:100
Marysville Substation - Oxford 138 kV Circuit 1,L:6226:6227:138
Mars Hill - N Wenatchee 100 kV,L:23298:23299:100
San Bruno Substation - Indeck West Enfield Energy Center 100 kV Ckt 1,L:18790:19203:100
Claypool Hill - Coal Creek 138 kV Circuit 1,L:9562:9603:138
Chalk Pt - Columbus Denois Crk 345 kV Ckt 1,L:8949:9089:345
Gloucester - Rec Laprairie 138 kV Cir. 1,L:5293:6002:138
Arpin - White River 138 kV Ckt 1,L:7793:7821:138
Millbrae - Anderson 100 kV Line 1,L:22396:22401:100
Brigham Rd - Acec Doylestown 138 kV Ckt 1,L:17156:17587:138
Seymour Johnson - Gray Summit 230 kV,L:22827:22993:230
Blue Ribbon - Lucent 230 kV,L:19052:19094:230
Aes Shady Pt Llc - W K Sanders 100 kV #1,L:19668:19671:100
Pine Tree Acres - Novec Paradise 138 kV #1,L:10065:10067:138
Beding - S E Canton 100 kV,L:20150:20154:100
Fayette Plant 1 - New Carlsle 100 kV Cir. 1,L:18866:19163:100
Macarthur - Leadville 138 kV,L:8064:8065:138
Barcelona - Purewater 138 kV Ckt 1,L:8573:8576:138
Skokie - Skokie 2 Substation 100 kV,L:23001:23004:100
Northward - Perry 100 kV,L:19665:20296:100
Wesco - Alamorio 138 kV,L:6228:7106:138
London Bridge - Sherbino I 138 kV Ckt 1,L:10234:10246:138
Grand Junction - Bouse Pumping Station 138 kV Ckt 1,L:8717:8927:138
Terminous Substation - Saltville 100 kV,L:23402:23886:100
Beneva Substation - Munk 138 kV,L:17366:17367:138
Dumas Substation - Kern Canyon 138 kV Line 1,L:8497:8811:138
Ninemile Pt Substation - Elm 100 kV,L:19706:19711:100
Princeton - Kenedy 138 kV Cir. 1,L:7505:7512:138
Hat Crk 2 - Fort Martin Substation 138 kV Ckt 1,L:7971:18427:138
Sam Dam - White House 100 kV Ckt 1,L:19309:19315:100
Biddeford Ip - Factory 138 kV Circuit 1,L:16921:17386:138
Ripple - Crane 138 kV,L:8178:8197:138
Yemassee - Seneca Terminal 138 kV Circuit 1,L:9632:9636:138
Neset 2 - Gila Riv 100 kV Ckt 1,L:23368:23431:100
Dillard-Orange - New Iberia 138 kV Cir. 1,L:8481:8562:138
Keystone - Armstrong 500 kV #1,L:8266:8291:500
Frackville - Epsy 138 kV Ckt 1,L:6981:6987:138
Johnair - Wilmington Sta C Tap 100 kV Ckt 1,L:19066:19109:100
Sayreville Cogeneration Facility - Busch 138 kV #1,L:5551:5571:138
Acec Arrowhead - Meomonie 138 kV #1,L:9471:9719:138
Carson - Forbes 138 kV Circuit 1,L:7296:7359:138
W Yaphank - Douglas St 100 kV Line,L:19442:19445:100
German Church - West Liberty 100 kV Line 1,L:22026:22029:100
Minotola Sta - Northwest Texarkana 138 kV Line 1,L:5143:5154:138
Sulphur Springs - Bengis 138 kV,L:8525:9094:138
Reedy Creek - Bixby 100 kV Cir. 2,L:19119:19565:100
Evergreen Community Power - W 138 kV Line 1,L:6078:6082:138
Sevierville - Yukon 138 kV,L:7276:8228:138
Mcdowell - Visalia 138 kV Line 1,L:6167:7136:138
Eagle Pt Power Plant - Coldwater 138 kV #1,L:9467:9468:138
Fluvanna P.S - Robert J Brewer Substation 138 kV Circuit 1,L:9366:9631:138
Ronco - Texas Eastern 5 500 kV Line 1,L:7923:8280:500
Sebastian - Heber 138 kV #1,L:9939:10076:138
Parklawn - Nih 138 kV #1,L:8887:8894:138
Jal - South Cannon Falls 100 kV,L:19377:19400:100
National City - Camino 138 kV Ckt 1,L:9740:10003:138
Grimes - N Aks 138 kV Circuit 1,L:5591:5996:138
Eastom - Exeter Energy Lp 138 kV #1,L:18597:18599:138
Torrey - Riva Rod 138 kV Line,L:8405:8407:138
Spencer Reit Substation - Stegal 138 kV Cir. 1,L:7709:7813:138
Comton - White Creek 138 kV line,L:9311:9477:138
E J Stoneman Sta - Milvon 100 kV,L:19430:19551:100
Tualatin Substation - Brookfield 100 kV Ckt 1,L:20018:20218:100
Rockwood - Mormon Flat Dam 100 kV Circuit 1,L:19386:19399:100
Benson - University Park N 100 kV,L:23069:23505:100
Kean Mtn And Grassy Creek - Garden Crk 138 kV Ckt 1,L:9270:9633:138
Thompson Peak Tap - 2Nd St 138 kV Ckt 1,L:7227:7284:138
Central Ferry - Winston 100 kV L,L:22791:23428:100
Bull Run - Greenwater 138 kV Circuit 1,L:9866:9867:138
Martin Creek - Stadium 138 kV Line 1,L:7055:7089:138
West Lafayette Cumberland Avenue - Burches Hill 138 kV #1,L:8676:8926:138
Siloam Springs Southwest - Clarksville 138 kV Circuit 1,L:5508:6004:138
Astra Wind Farm Substation - Fratt 138 kV Cir. 1,L:16952:16954:138
Red Lion Energy Ctr - Queen City 138 kV Cir. 1,L:8348:8352:138
Orange Riv - Granite Falls 100 kV,L:18939:19191:100
Elizabeth Riv Power Sta - Cato 138 kV,L:9760:10130:138
Marley - Pokagon Substation 100 kV Circuit 1,L:22598:22599:100
Forest - Norwood Substation 138 kV Circuit 1,L:18494:18500:138
Midulla Generating Station Substation - Lombardy Ln 138 kV,L:5599:5616:138
Westwing - Waitsburg Substation 138 kV,L:8964:9853:138
Wheelabrator Baltimore Refuse - Wilkens 138 kV,L:8507:9058:138
Torrington Terminal - Aj Swope 138 kV Line 1,L:8484:8578:138
La Muda 1343 - Coggon 138 kV L,L:7056:7103:138
Lakeshore - Orfordvlle 138 kV Ckt 1,L:6271:6272:138
Huntingdon - Kearneyville 345 kV Cir. 1,L:8742:17910:345
D B Wilson - Glendale South Tap 5 100 kV L,L:19769:19775:100
North Bergen - Lasel Ap 161 kV line,L:2943:2954:161
Ardmore - Wilderness Dp 138 kV L,L:9327:10118:138
Shockoe - Carver 138 kV Cir. 1,L:9806:9807:138
Willett St - Calumet 138 kV Line 1,L:6408:6422:138
Appleway - Webb 138 kV Ckt 1,L:16927:17387:138
Acb Energy Parntners Llc - Mtf Cogen - Cumberland Nj 500 kV #1,L:5989:5995:500
Chevmain - Rogers Lake 138 kV L,L:7987:7996:138
Allings Crossing - Paul Sweet 138 kV Cir. 1,L:17735:17736:138
Clearwater - Tyler 138 kV Circuit 1,L:9743:10267:138
German Church - West Liberty 100 kV Line,L:22026:22029:100
Pittsburg - Honk Falls 100 kV Circuit 1,L:18716:19495:100
Plaquemine Cogeneration Plant - Raceland 138 kV Ckt 1,L:6047:6184:138
Thorofare - Deptford 138 kV Circuit 1,L:5428:6931:138
Cloverbank - Vaseauxlake Substation 138 kV L,L:8715:8939:138
G E Turner - Hurricane Creek Substation 138 kV Cir. 1,L:7669:8110:138
Silver Hawk - Hale Co 100 kV #1,L:22243:22247:100
B&W Susbtation Substation - Johnsons Corners 100 kV,L:20051:20190:100
Sweetwater Substation - Upper Mechanicville 138 kV Circuit 1,L:9546:9575:138
Moss - Gardiner 138 kV Line 1,L:18126:18138:138
Wray - Oreana 138 kV Ckt 1,L:7070:7082:138
Trimble - Greens Bayou 345 Substation 100 kV Line 1,L:18729:18733:100
Eastmont - Caseyw 138 kV Cir. 1,L:7649:7671:138
Marys Riv - Fitchburg 100 kV #2,L:18933:20236:100
Kaweah 2 - Dixon 138 kV #1,L:8776:8799:138
Whitwell - Lake 138 kV Ckt 1,L:5504:5506:138
Midland - Usk 500 kV Circuit 1,L:8270:19533:500
Maquoketa - 56Th 138 kV L,L:7682:7691:138
Plant Avenue - Conowingo 345 kV L,L:8516:9104:345
Chevron Kettleman - S Bloomington 138 kV,L:7038:7166:138
Noxon - Epsy 138 kV Line,L:6975:6987:138
Moshier - Goodhue Solar 100 kV,L:23127:23192:100
Market St - Spinninng Spur I 138 kV #1,L:6486:6513:138
Pax Branch - Warner Lambert 138 kV,L:18068:18529:138
Mt Joy - Lancaster Air Products 138 kV Ckt 1,L:6554:6563:138
Twinbrook - Kensington 138 kV Line 1,L:8841:8891:138
Belfry - Lea National Substation 138 kV,L:8320:8830:138
Tewksbury - Somis & Shellsom 100 kV Cir. 1,L:19936:19938:100
Commonwealth Edion Des Plaines - Clifton Wilson Substation 230 kV Ckt 1,L:22873:22982:230
Ruch - Spencer Hydro 138 kV Cir. 1,L:6593:6598:138
Ridgeline - Locust 230 kV Ckt 1,L:21696:22584:230
Marsh Fork - Attala 138 kV Line 1,L:8133:8151:138
Hedda - South Plant 138 kV Circuit 1,L:7590:7721:138
Kenyon - Highlandtown 138 kV L,L:8464:9086:138
Aquasco - Crain Highway 138 kV Line 1,L:8653:8969:138
Hiawatha - St Clod 100 kV Ckt 1,L:19099:19132:100
Deer Crk - Gruver 100 kV Ckt 2,L:22100:22673:100
Glendon - Hoicon Substation 138 kV Line 1,L:5889:6800:138
Torrington Terminal - Pleasentville 138 kV Ckt 1,L:8484:8508:138
Carle Place - Walla Walla Substation 138 kV Circuit 1,L:6030:8622:138
Serpent - Dunsmuir - Adjunct 138 kV,L:6273:8650:138
Henry Co - North Dublin 138 kV #1,L:9624:9625:138
Tulu - W Lancaster 100 kV line,L:19006:19022:100
Sewall Substation - Igo 138 kV line,L:7490:7504:138
Priest River - Fern Hill 100 kV,L:18787:19515:100
Guilbeau Electric - Bordertown 230 kV,L:22935:23056:230
Rec Newark - Owatonna 100 kV,L:18981:18982:100
Marble Rive Hatch - Parkview Battery 100 kV Line 1,L:21195:21197:100
Crystal Mtn Generation - Greenport 100 kV,L:19858:19863:100
Stiles - Certified 100 kV,L:24206:24208:100
Picadilly - West Sparta 100 kV Line 1,L:23148:23165:100
George Eal South - Bryan St Substation 100 kV Cir. 1,L:22908:22937:100
Ft Rock - Silver Star 138 kV Line 1,L:5346:5349:138
Ductile - Chipola 100 kV Circuit 1,L:19036:19049:100
Craney Island - Solway 138 kV Ckt 1,L:10096:10208:138
Se Olk - Russ Ranch 138 kV L,L:17173:17174:138
Hillsdale Jct - Cheboygan 100 kV Ckt 1,L:19316:19319:100
Upper Salmon Falls - Imhoff Tap 1 100 kV,L:23222:23448:100
Jim Christal - Drmmond 100 kV Line,L:22951:22960:100
Sta G - Vedder 138 kV,L:9276:9278:138
Glendale - W Campus 345 kV Cir. 1,L:7673:7677:345
Amistad - Federal Square 138 kV Circuit 1,L:5362:5385:138
Sinnott - Energizer 100 kV Circuit 1,L:23342:23343:100
Fremont Community Digester Llc - Ft Atkinson 100 kV,L:23876:23882:100
Morgan Fork - Beaver Crk 138 kV,L:17317:17319:138
Fap Substation - Jm Manufacturing 100 kV #1,L:19741:20285:100
E Batavia - Sandy Run 138 kV #1,L:6860:6869:138
Buena Vista Substation - Columbus Denois Creek Substation 138 kV,L:8914:8949:138
Gainesville - Caney Creek 138 kV Line 1,L:10139:10140:138
Bear Island - Winger 138 kV #1,L:9839:10264:138
